Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Ontario,2003,"32,200","25,900","9,651",3.2,96.8,20.8,19.2,16.2,14.5,10.5,6.9,11.9
Ontario,2004,"32,400","25,600","9,803",2.9,97.1,21.2,19.4,16,14,10.4,6.7,12.3
Ontario,2005,"32,500","26,000","10,000",3,97,21.5,18.5,15.6,14.7,9.9,7.1,12.7
Ontario,2006,"32,800","26,600","10,090",2.7,97.3,21.3,18.2,15.7,14.1,11,6.9,12.8
Ontario,2007,"33,800","27,000","10,231",2.1,97.9,19.9,19,15.6,13.9,10.7,7.1,13.8
Ontario,2008,"33,900","27,100","10,390",2.4,97.6,19.7,19,15.3,14.2,10.2,7.6,14
Ontario,2009,"33,700","26,500","10,529",2.7,97.3,20.8,19,14.9,13.4,10.6,7.1,14.2
Ontario,2010,"33,800","26,700","10,733",3.1,96.9,20.2,19.1,15.3,13.2,10.5,7.4,14.3
Ontario,2011,"33,300","26,500","10,875",3.5,96.5,20.3,19.1,15.3,13.6,10.6,6.7,14.4
Manitoba,1976,"22,700","16,900",744,14.6,85.4,37.1,17.9,15.1,10.2,7.1,5.6,7
Manitoba,1977,"22,900","17,400",752,14.4,85.6,35.9,18.1,14,11.2,9,5.3,6.6
Manitoba,1978,"23,300","17,800",758,15.7,84.3,35.6,17.1,14,12,9,5.8,6.6
Manitoba,1979,"23,700","17,700",758,13.7,86.3,33.8,19.7,13.2,12.1,9,5.8,6.4
Manitoba,1980,"25,000","20,100",762,11.4,88.6,29.9,19.9,15.5,13.1,8.7,5.9,7
Manitoba,1981,"24,400","19,900",769,9.4,90.6,29.2,20.9,16.1,12.9,8.9,5.6,6.3
Manitoba,1982,"24,300","19,100",781,9.6,90.4,28.2,23.4,16.1,11.9,9,5.5,5.9
Manitoba,1983,"24,900","20,300",791,7.7,92.3,27.2,22.5,16.4,12.9,9.2,4.5,7.5
Manitoba,1984,"24,500","20,300",802,9.2,90.8,28.3,21.1,17.3,12.7,8.9,5.9,5.8
Manitoba,1985,"24,600","20,200",810,7.9,92.1,27.1,22.3,18.6,12.5,8.4,5.6,5.5
Manitoba,1986,"24,700","20,100",817,7.5,92.5,26.4,23.4,17.1,13.6,8,5.9,5.7
Manitoba,1987,"24,000","20,400",821,7.5,92.5,25.7,23.4,18.9,13.4,9.3,5.2,4.2
Manitoba,1988,"24,700","20,700",822,6.9,93.1,25.2,23,19.3,12.9,9.4,5.5,4.7
Manitoba,1989,"25,400","21,400",823,6,94,22.2,24.2,20.3,13.3,9.4,5.3,5.4
Manitoba,1990,"24,400","21,300",827,6.2,93.8,24.1,23,20.1,13.5,9.7,5.6,4.1
Manitoba,1991,"23,500","20,100",828,6.1,93.9,25.5,24,19.5,13.5,9.1,4.9,3.5
Manitoba,1992,"23,900","20,000",827,6.7,93.3,24.8,25.2,18.5,13,8.9,5.1,4.4
Manitoba,1993,"23,200","20,300",829,5.1,94.9,25.1,24.2,19.8,13.8,10.1,4.8,2.3
Manitoba,1994,"23,900","20,100",832,5.8,94.2,24.2,25.6,18.2,13.9,9.4,4.7,3.9
Manitoba,1995,"24,000","20,600",835,5.3,94.7,23.6,24.9,19.3,15.3,8.5,4.8,3.6
Manitoba,1996,"24,000","20,600",836,4.7,95.3,22.8,25.8,19.8,14.1,9.3,4.8,3.5
Manitoba,1997,"24,000","20,400",837,4.5,95.5,22.7,26.4,19.7,13.9,8.8,5.2,3.3
Manitoba,1998,"25,500","21,100",831,2.5,97.5,20.5,26.6,19.8,14.4,9.4,5.1,4.2
Manitoba,1999,"25,500","21,900",842,2.9,97.1,20,25.2,20.7,15.2,9.3,5.1,4.4
Manitoba,2000,"26,000","21,900",847,2.2,97.8,19.9,25.2,20.6,15.1,9.2,5.2,4.7
Manitoba,2001,"27,100","23,100",848,2.2,97.8,18.1,24.6,21.2,16.1,9.4,5.2,5.3
Manitoba,2002,"27,700","23,600",855,1.8,98.2,19.2,23,20.7,15.7,9.5,5.9,6.1
Manitoba,2003,"27,200","22,900",864,2.3,97.7,19.4,23.2,21.4,14.9,9.6,5.7,5.8
Manitoba,2004,"27,800","23,200",868,2.6,97.4,19,22.8,20.9,16,8.7,6.1,6.4
Manitoba,2005,"28,200","23,800",874,2.9,97.1,20.1,21,20.7,15.5,9.3,5.8,7.6
Manitoba,2006,"28,900","24,000",882,2.7,97.3,19.9,20.3,20.5,16.3,9.2,6,7.9
Manitoba,2007,"30,500","25,200",896,1.9,98.1,18.1,20.7,19.6,16.2,9.6,6.2,9.6
Manitoba,2008,"31,400","26,300",909,1.6,98.4,16.7,20.9,19.3,16.1,10,6.8,10.2
Manitoba,2009,"31,200","27,100",917,2.1,97.9,17,20.3,19,16.3,10.2,6.7,10.7
Manitoba,2010,"31,100","26,600",929,1.4,98.6,17.3,19.6,19.2,17,10.5,5.9,10.5
Manitoba,2011,"31,200","27,200",937,1.5,98.5,16.5,19.4,20,16.3,11.1,7.2,9.5
Saskatchewan,1976,"23,400","14,800",666,17.5,82.5,39.3,18.5,11.3,8.9,8.2,5.9,7.9
Saskatchewan,1977,"23,000","17,000",678,15.1,84.9,36.4,18.2,12.9,12.3,7.8,5.5,6.9
Saskatchewan,1978,"23,500","19,100",688,16.5,83.5,35.8,15.7,15.6,11.4,8.3,6.4,6.6
Saskatchewan,1979,"24,500","17,900",696,14.8,85.2,34.3,18.7,12.9,11.5,8.8,6.3,7.5
Saskatchewan,1980,"25,600","18,800",705,12.6,87.4,32.3,19.5,13,10.6,8.5,8.4,7.8
Saskatchewan,1981,"26,000","20,100",714,11.1,88.9,29.5,20.1,14.9,12.6,8.5,6.1,8.2
Saskatchewan,1982,"25,300","19,700",724,10.1,89.9,29.1,21.4,15.2,11.9,9.3,5.6,7.5
Saskatchewan,1983,"24,600","19,400",735,11.2,88.8,29.9,21.4,16.7,11.7,8.2,5,7.2
Saskatchewan,1984,"24,400","19,300",745,9.2,90.8,29.1,22.2,15.6,12,8.9,5.8,6.3
Saskatchewan,1985,"24,500","19,500",749,8.2,91.8,28.9,21.9,15.9,12.2,9.3,5.4,6.3
Saskatchewan,1986,"24,000","19,000",752,8.8,91.2,27.8,24.3,17.2,11.2,8.6,4.7,6.2
Saskatchewan,1987,"24,100","19,600",751,7.8,92.2,26.7,24.3,17.7,12.3,8.2,5.5,5.3
Saskatchewan,1988,"24,100","19,500",745,7.3,92.7,25.7,25.2,17.1,13,8.8,4.8,5.3
Saskatchewan,1989,"24,200","20,000",736,6.7,93.3,24.8,25.2,17.8,12.6,8.9,5.8,4.9
Saskatchewan,1990,"23,600","19,600",732,6.2,93.8,26.9,24.3,18,12.6,9.2,4.8,4.2
Saskatchewan,1991,"22,900","18,900",729,6,94,27,25.4,18.4,12.2,8.5,4.6,3.8
Saskatchewan,1992,"24,000","19,200",733,6.6,93.4,27.9,24,17.1,13,7.9,5.1,5.1
Saskatchewan,1993,"23,000","19,000",730,5.8,94.2,25.6,27.2,17.6,12.6,8.5,5,3.4
Saskatchewan,1994,"23,000","19,300",736,5.6,94.4,25.4,26.5,18.5,12.8,9.1,4.4,3.2
Saskatchewan,1995,"23,400","19,900",740,4.9,95.1,25.1,25.2,20,13.1,8.7,4.3,3.7
Saskatchewan,1996,"23,500","20,000",739,4.3,95.7,23.7,26.3,19.6,14,9.1,4,3.3
Saskatchewan,1997,"23,600","20,100",741,4.6,95.4,23.4,26.3,19.5,14.7,8.8,4.1,3.2
Saskatchewan,1998,"24,400","20,500",737,3.5,96.5,22.4,26.6,19.2,14.2,9.3,4.5,3.9
Saskatchewan,1999,"25,100","21,100",733,3.3,96.7,21.6,25.9,17.9,15.2,9.8,5.6,3.9
Saskatchewan,2000,"25,500","21,300",731,3.3,96.7,22.2,24.9,18.1,14.8,10,5.3,4.7
Saskatchewan,2001,"27,300","23,200",726,2.8,97.2,19.4,24.3,19.4,14.7,10.3,5.8,6.1
Saskatchewan,2002,"27,200","23,000",724,2.5,97.5,19.8,24,18.7,16,9.2,5.8,6.5
Saskatchewan,2003,"27,400","23,000",731,2.5,97.5,20.4,23.8,18.5,15.4,9.5,5.5,6.9
Saskatchewan,2004,"27,300","22,500",734,2.7,97.3,20.8,23.5,19,14.6,8.9,5.8,7.4
Saskatchewan,2005,"28,500","23,200",736,2.5,97.5,20,22.9,19.5,14.5,8.7,5.7,8.7
Saskatchewan,2006,"29,700","24,200",742,2.8,97.2,19,22.4,18.3,15.1,9.6,5.9,9.7
Saskatchewan,2007,"31,200","25,400",756,2.7,97.3,17.5,21.5,18.8,14.8,9.7,6.8,10.7
Saskatchewan,2008,"33,500","28,400",763,2.1,97.9,16.1,19.8,17.2,15.5,10.6,8.3,12.5
Saskatchewan,2009,"34,800","29,200",773,2.2,97.8,15.2,18.5,17.6,15.6,11,8.3,13.8
Saskatchewan,2010,"34,400","29,100",786,1.9,98.1,15.6,18.8,17.2,15.2,11.2,8,14
Saskatchewan,2011,"35,900","30,400",798,2.1,97.9,15.1,18.4,16,14.6,12.4,8,15.5
Alberta,1976,"27,700","20,100","1,361",16.2,83.8,33.9,15.8,12.3,11.6,9.1,5.8,11.5
Alberta,1977,"27,200","21,500","1,439",14.8,85.2,32.8,14.9,13.6,11.3,8.9,7.3,11.2
Alberta,1978,"28,800","22,700","1,511",15.9,84.1,31.1,15.8,13.3,10.6,10.6,7,11.6
Alberta,1979,"28,300","23,500","1,581",12.5,87.5,29.2,15.7,13.6,12.8,10.8,7.5,10.3
Alberta,1980,"30,000","24,200","1,668",13,87,29.2,15.9,13.4,12,9.1,7.8,12.6
Alberta,1981,"30,200","25,900","1,740",9.6,90.4,25.6,15.7,15,13.4,11,7.6,11.7
Alberta,1982,"30,400","25,600","1,774",9.7,90.3,25.5,16.2,14.9,13.1,10.4,8.1,11.9
Alberta,1983,"27,800","22,700","1,779",10.7,89.3,26.9,18.5,16.1,12.4,9.1,6.6,10.4
Alberta,1984,"27,000","22,700","1,784",9.6,90.4,26.7,18.8,16,13.4,9.1,6.8,9.2
Alberta,1985,"28,300","23,100","1,805",8.2,91.8,25.2,19.2,16.5,12.7,10.3,6,10.2
Alberta,1986,"27,800","23,200","1,814",7.8,92.2,24.8,19.5,17.2,13.1,9.7,6.7,8.9
Alberta,1987,"26,800","21,800","1,819",7.4,92.6,24.8,21.3,17.4,12.8,9.2,6.7,7.8
Alberta,1988,"27,500","23,100","1,842",7.6,92.4,23.4,20.6,17.9,13.1,10,7,8
Alberta,1989,"27,700","23,400","1,872",6.3,93.7,22.5,20.7,17.7,12.7,11.9,6.4,8
Alberta,1990,"27,500","23,000","1,916",6.2,93.8,23.8,20.3,17.6,14.1,9.7,6.7,7.8
Alberta,1991,"27,300","22,300","1,947",6.8,93.2,23.8,21,18.2,13.3,9.8,6.4,7.5
Alberta,1992,"26,600","21,500","1,974",7.3,92.7,25.8,21,16.6,14.2,9.6,5.7,7.1
Alberta,1993,"26,600","22,000","1,997",6,94,24,21.8,18,12.9,10.1,6.1,7.1
Alberta,1994,"26,600","21,500","2,020",5.5,94.5,24,22.4,17.1,12.9,10.2,6.1,7.3
Alberta,1995,"26,600","21,800","2,056",5.4,94.6,24.9,20.9,17.8,13.2,10.3,5.7,7.1
Alberta,1996,"26,800","22,000","2,090",4.6,95.4,23.9,21.7,18.1,13.8,9.1,6.3,7
Alberta,1997,"28,100","22,500","2,155",4.5,95.5,23.3,21.5,18.1,13.4,9.3,6,8.3
Alberta,1998,"29,400","23,300","2,196",3.3,96.7,21.8,21.7,17.5,14.3,9.4,6.5,8.8
Alberta,1999,"29,400","23,600","2,245",2.8,97.2,20.8,21.8,17.8,14.3,10.3,6.4,8.6
Alberta,2000,"30,700","24,500","2,298",2.8,97.2,20.4,20.7,18.2,13.8,10.1,6.7,10
Alberta,2001,"33,000","26,600","2,341",2.4,97.6,18.2,19.3,17.5,14.8,10.3,6.9,12.9
Alberta,2002,"32,400","26,100","2,397",2,98,19.3,19.2,17.6,13.4,10.4,7,13
Alberta,2003,"32,500","25,800","2,445",3,97,20.4,17.9,18.3,14,9.9,6.5,12.8
Alberta,2004,"33,900","27,300","2,481",2.8,97.2,19.3,17.5,17.6,14.6,10,6.5,14.5
Alberta,2005,"35,400","28,500","2,552",2.3,97.7,17.2,18,17.2,14.4,10.2,7.5,15.4
Alberta,2006,"37,800","30,300","2,703",1,99,16.2,16.3,17,14.7,11.4,7.4,16.9
Alberta,2007,"39,600","31,600","2,769",1.9,98.1,15.4,15.7,16.7,14.2,11.1,8.5,18.4
Alberta,2008,"40,400","32,300","2,847",1.8,98.2,15.3,14.7,17,13.3,11.9,7.9,19.9
Alberta,2009,"40,200","32,200","2,894",2.8,97.2,16.5,15.2,15.2,13.4,11.9,7.7,20
Alberta,2010,"40,100","31,700","2,940",2.6,97.4,15.8,15.6,16.5,13.1,11.6,7.4,19.9
Alberta,2011,"41,900","33,300","2,993",2.4,97.6,15.5,14.4,15.9,13.7,12.3,7.3,20.9
British Columbia,1976,"28,300","21,400","1,900",15.9,84.1,33.1,15.6,11.5,10.7,10.3,7.7,11
British Columbia,1977,"26,800","21,700","1,945",14.9,85.1,31,16.8,12.9,11.3,9.7,8,10.2
British Columbia,1978,"27,900","23,100","2,002",15.3,84.7,32.1,13.7,13.3,11.7,10.2,8,10.9
British Columbia,1979,"27,800","22,100","2,066",13.7,86.3,29.9,17.3,12.7,11.4,9.3,8.8,10.6
British Columbia,1980,"29,500","24,500","2,137",11.1,88.9,27.5,16.6,12,12.9,10.7,8.6,11.7
British Columbia,1981,"28,600","23,700","2,193",10.1,89.9,27,17.2,14.7,11.4,10.6,8.2,10.9
British Columbia,1982,"27,700","22,700","2,225",10.8,89.2,27.3,18.6,13.9,12,10.6,7.5,10
British Columbia,1983,"26,800","21,000","2,261",11.1,88.9,27.6,20.8,14,11.5,10.3,6.7,9.2
British Columbia,1984,"26,000","20,300","2,293",9.8,90.2,29,20.4,14.4,11.3,9.8,6.9,8.2
British Columbia,1985,"26,400","20,200","2,321",9.2,90.8,28.7,21.1,14.5,11.3,8.9,7.2,8.3
British Columbia,1986,"26,800","21,300","2,350",8.7,91.3,26.4,21.2,16,11.1,9.9,7.4,8
British Columbia,1987,"26,200","21,600","2,395",7.4,92.6,26.4,20.8,16.7,12.5,10.9,6.4,6.3
British Columbia,1988,"27,200","22,400","2,450",7,93,23,22.3,16.8,12.2,11.5,7.4,6.8
British Columbia,1989,"27,500","23,700","2,515",6.6,93.4,22.2,19.9,18.5,13.2,11.7,7.9,6.5
British Columbia,1990,"27,200","22,500","2,594",7,93,23.6,21.5,16.7,13.6,10.2,7.1,7.4
British Columbia,1991,"26,300","22,000","2,657",7.6,92.4,23.9,22.3,17,14.2,9.1,7,6.4
British Columbia,1992,"27,100","22,300","2,737",7.2,92.8,24,21.4,16.4,14,10.8,6.4,7
British Columbia,1993,"26,400","21,900","2,800",5.8,94.2,23.5,22.9,16.9,13.5,10.1,6.8,6.3
British Columbia,1994,"26,400","22,000","2,894",6.3,93.7,23.4,22.3,17.9,13.2,10.3,6.6,6.4
British Columbia,1995,"26,600","22,400","2,973",6.2,93.8,23.6,21.5,17.9,13.1,10.6,6.8,6.6
British Columbia,1996,"26,300","21,600","3,055",5.7,94.3,24.3,22.2,17.3,13.6,9.5,6.1,7
British Columbia,1997,"26,400","21,800","3,107",5.4,94.6,25.3,20.8,17.5,13.7,9.6,6.2,6.9
British Columbia,1998,"27,000","22,300","3,098",3.3,96.7,22.7,22.6,18,13.7,9.3,6.3,7.3
British Columbia,1999,"27,400","22,500","3,133",4.3,95.7,23.1,22,16.9,14.5,9.5,6.5,7.5
British Columbia,2000,"27,200","22,000","3,172",3.9,96.1,23.4,22.6,15.9,14.2,9.4,6.2,8.3
British Columbia,2001,"28,600","23,200","3,223",4,96,23.1,21.5,15.5,14.4,10.2,5.8,9.3
British Columbia,2002,"29,300","22,500","3,260",3,97,22.1,22.8,16,13.3,9.9,6.5,9.4
British Columbia,2003,"28,700","22,200","3,301",3.4,96.6,22.5,23.2,15.7,13,9.5,6.4,9.6
British Columbia,2004,"29,500","22,800","3,359",3.1,96.9,21,24.2,15.3,12.8,9.9,5.8,10.9
British Columbia,2005,"30,400","23,600","3,432",2.5,97.5,21,21.5,17.4,13.7,9.3,6.3,10.8
British Columbia,2006,"31,600","25,100","3,439",2.7,97.3,19.7,21.3,16.5,13.6,10.4,6.7,12
British Columbia,2007,"32,800","26,600","3,509",2.2,97.8,19.4,19.1,17.5,13.9,10.3,7.2,12.6
British Columbia,2008,"34,100","26,600","3,578",0.5,99.5,18.6,20.1,15.8,13.2,11.2,7.1,13.9
British Columbia,2009,"33,200","26,500","3,654",2.3,97.7,19.9,20.2,15.2,13.4,10.6,7.6,13
British Columbia,2010,"32,700","25,100","3,717",2.5,97.5,20.5,21.4,14.8,12.3,10.6,7.1,13.2
British Columbia,2011,"32,500","25,900","3,743",2.4,97.6,18.2,21.4,16.8,13.1,10.8,6.4,13.3
St. John's,1976,,,,,,,,,,,,
St. John's,1977,,,,,,,,,,,,
St. John's,1978,,,,,,,,,,,,
St. John's,1979,,,,,,,,,,,,
St. John's,1980,,,,,,,,,,,,
St. John's,1981,,,,,,,,,,,,
St. John's,1982,,,,,,,,,,,,
St. John's,1983,,,,,,,,,,,,
St. John's,1984,,,,,,,,,,,,
St. John's,1985,,,,,,,,,,,,
St. John's,1986,,,,,,,,,,,,
St. John's,1987,,,,,,,,,,,,
St. John's,1988,,,,,,,,,,,,
St. John's,1989,,,,,,,,,,,,
St. John's,1990,,,,,,,,,,,,
St. John's,1991,,,,,,,,,,,,
St. John's,1992,,,,,,,,,,,,
St. John's,1993,,,,,,,,,,,,
St. John's,1994,,,,,,,,,,,,
St. John's,1995,,,,,,,,,,,,
St. John's,1996,,,,,,,,,,,,
St. John's,1997,,,,,,,,,,,,
St. John's,1998,"23,700","21,000",129,4.8,95.2,28.8,19.8,18.4,16.2,8.5,3.5,4.7
St. John's,1999,"24,600","21,200",135,5.2,94.8,26.4,21.3,19.9,14.5,10.1,3.8,4.1
St. John's,2000,"25,000","20,800",142,4,96,25.5,21.9,19.1,14.5,9.7,4.1,5.2
St. John's,2001,"25,400","21,400",142,4.7,95.3,24.1,23.2,18.4,13.6,10.7,4.9,5.2
St. John's,2002,"26,000","21,400",136,4.3,95.7,23.6,23,18.5,13.7,10.1,4.4,6.6
St. John's,2003,"25,500","22,000",137,4.6,95.4,21.9,24,19,15.8,9,4.5,5.9
St. John's,2004,"26,100","21,000",140,4.5,95.5,23.5,24.7,17.1,14.2,8.4,5.1,7.1
St. John's,2005,"26,800","22,600",131,2.8,97.2,23,21.3,22.5,13.6,7.6,5.2,6.8
St. John's,2006,"28,300","23,300",136,2.9,97.1,20.3,23,21.2,13.4,9.2,5.2,7.7
St. John's,2007,"29,300","23,000",139,2.3,97.7,19.1,24.4,20.3,13.1,8,5.6,9.4
St. John's,2008,"31,700","26,000",149,2.8,97.2,19.2,19.1,20.5,13.9,10,6,11.2
St. John's,2009,"32,700","26,800",142,2.6,97.4,17.7,17.5,20.3,13.9,13.3,5.7,11.6
St. John's,2010,"34,200","27,800",151,2.8,97.2,17.2,19.2,17.3,13.9,11.6,7.3,13.4
St. John's,2011,"35,500","30,500",173,2.3,97.7,16.9,16.1,16.5,15.8,12,7.9,14.7
Halifax,1976,"24,100","21,100",176,19,81,33,15.1,16.4,13,9.1,8.1,5.4
Halifax,1977,"24,300","19,700",181,15,85,32.9,17.7,13.8,12.6,10.4,6.5,6.1
Halifax,1978,"26,400","22,100",169,12.7,87.3,31.4,15.2,15.3,12.4,11.2,5.4,9.2
Halifax,1979,"23,900","19,700",195,14.8,85.2,31.1,19.7,14,15.1,7.7,7,5.3
Halifax,1980,"24,700","19,300",193,13.1,86.9,32.1,18.7,15.9,10.8,9.1,6.7,6.8
Halifax,1981,"24,600","20,400",186,10.2,89.8,30.1,19,16.6,12,10.4,5.2,6.6
Halifax,1982,"24,900","20,800",192,10.3,89.7,30.5,17.6,16.6,13.4,9.2,6.4,6.3
Halifax,1983,"25,600","22,600",205,8.6,91.4,26.4,19,18.1,13.7,11.4,6.3,5
Halifax,1984,"26,000","21,000",230,9.6,90.4,29.4,18.5,17.1,11.8,9.4,7,6.9
Halifax,1985,"27,300","21,500",239,8.9,91.1,27.6,20.1,15.7,12.7,9.8,6.2,8
Halifax,1986,"28,300","23,300",236,8.9,91.1,24.2,18.8,19.2,12.9,9.5,5.9,9.4
Halifax,1987,"26,000","22,100",238,8.4,91.6,26,19.9,17.8,13.9,8.5,7,6.8
Halifax,1988,"25,700","22,700",242,8.3,91.7,27.2,19.4,17,12.3,12.3,5.9,5.9
Halifax,1989,"27,000","22,300",245,6.8,93.2,21.3,22.8,19.3,12.3,10.7,6.6,7.1
Halifax,1990,"27,400","23,500",245,6.6,93.4,20.8,19.5,22.1,12.8,10.3,7.9,6.7
Halifax,1991,"26,100","21,100",251,7.9,92.1,24.9,22.4,16.1,13.3,11,4.8,7.4
Halifax,1992,"26,200","21,000",256,8.4,91.6,25.2,23.9,14.9,13.9,8.7,6.1,7.2
Halifax,1993,"26,300","22,700",249,5,95,24.4,20.3,17.5,13.4,12.9,6.2,5.3
Halifax,1994,"25,200","21,800",256,6.6,93.4,25.4,20.4,17.9,14.7,11.6,5.4,4.6
Halifax,1995,"23,900","20,200",261,5.6,94.4,25.1,24.6,16.8,14.1,11.6,4.7,3.1
Halifax,1996,"24,800","21,300",272,5.3,94.7,24.3,22.8,17.2,15.2,10.8,6.1,3.6
Halifax,1997,"24,400","20,800",278,6.1,93.9,27.6,20.8,17.7,14.2,10,5,4.8
Halifax,1998,"25,800","21,500",286,3.9,96.1,25.7,21.3,15.9,14.9,10.9,5.9,5.4
Halifax,1999,"26,900","22,400",280,3.9,96.1,24.7,20.2,16.5,15,10.7,6.1,6.8
Halifax,2000,"27,500","23,400",282,3.8,96.2,21.4,22.6,18.1,13.7,10.4,5.9,7.9
Halifax,2001,"27,500","23,400",287,3.5,96.5,22.4,19.6,19.1,14.4,11.9,4.8,7.8
Halifax,2002,"28,600","23,700",280,2.4,97.6,21.4,21.3,17.5,15.6,8.6,8.1,7.5
Halifax,2003,"28,200","22,700",281,3.4,96.6,22.5,20.8,18.1,15.9,7.6,6.2,8.9
Halifax,2004,"28,500","23,600",282,2.9,97.1,22.7,19.9,16.3,16.4,9.2,6.6,8.8
Halifax,2005,"29,800","25,000",288,2.1,97.9,20.6,19.9,17,15.1,10.8,7.6,9.2
Halifax,2006,"30,900","26,600",300,2.9,97.1,21.2,15.9,18.2,15.4,10.4,8.3,10.7
Halifax,2007,"31,500","27,400",306,4,96,22.1,16.7,15.6,14.2,12.5,8.2,10.7
Halifax,2008,"31,000","25,500",321,3.5,96.5,22.1,20.5,14.7,12.5,11.4,7.8,11
Halifax,2009,"31,500","24,300",336,3.7,96.3,22,20.2,14.4,12.1,9.9,9.3,12
Halifax,2010,"32,200","27,000",334,2.2,97.8,19.5,17.6,18.2,12.3,11.7,9.4,11.2
Halifax,2011,"33,200","29,300",348,2.4,97.6,19.4,15.6,16.2,15,12.9,8.4,12.4
Québec,1976,"27,200","19,600",410,18.6,81.4,34,16.8,13.8,10.4,9.9,5.7,9.5
Québec,1977,"24,900","19,400",392,18.1,81.9,34.6,16.5,14.4,11.1,9,6.1,8.2
Québec,1978,"25,000","19,500",427,18.5,81.5,35.3,15.1,12.3,14,8.4,5.2,9.6
Québec,1979,"26,000","22,200",382,16.1,83.9,29.1,18.3,15.1,12.8,8.6,8.1,8
Québec,1980,"24,900","19,700",421,14.2,85.8,33.5,17.7,13.3,12.2,10,4.5,8.8
Québec,1981,"24,100","19,400",415,13.9,86.1,31.3,19.9,16.9,12.3,6.7,5.5,7.3
Québec,1982,"23,100","17,800",397,12.5,87.5,32.7,21.3,14.5,12.3,8,5.1,6.1
Québec,1983,"23,600","17,400",417,12.1,87.9,29.6,24.5,11.5,14,8.7,6.4,5.3
Québec,1984,"24,000","19,700",488,11.5,88.5,28,22.2,18.6,11.9,8.3,6,5
Québec,1985,"24,700","20,700",492,9.9,90.1,27.1,20.3,19.9,14.3,6.7,5.5,6.2
Québec,1986,"23,800","19,100",488,13.7,86.3,30.9,21.1,16.3,12.4,8.3,5.2,5.8
Québec,1987,"24,500","22,100",500,11.8,88.2,27.1,20.5,16.9,13.6,10.8,7.5,3.6
Québec,1988,"24,200","20,300",512,9.4,90.6,25.6,23.5,18.9,12.7,10,4.1,5.1
Québec,1989,"26,000","23,200",506,8,92,21.7,22.4,19.5,15.7,9.3,6.3,5.1
Québec,1990,"23,100","19,000",524,8.4,91.6,26.1,25.4,17.7,14,8.5,4.4,3.8
Québec,1991,"24,700","20,100",530,10.1,89.9,26.8,22.8,14.8,15,8.8,7,4.8
Québec,1992,"23,500","19,400",538,9,91,24.7,27.6,16.7,13.2,8.1,4.3,5.5
Québec,1993,"24,200","21,100",527,7.3,92.7,24.7,23.7,18.1,14.1,10.8,4.3,4.3
Québec,1994,"24,300","19,800",542,8.2,91.8,25.4,25.3,16.8,13.6,8.3,5.3,5.2
Québec,1995,"25,000","22,200",550,8.5,91.5,23.5,22.2,18.4,16.5,10.1,4.6,4.7
Québec,1996,"24,100","19,900",573,8.8,91.2,27,23.1,16.4,14.1,9.8,5.2,4.3
Québec,1997,"24,500","20,500",579,7.3,92.7,26.7,22.4,15.4,16,9.8,5.5,4.2
Québec,1998,"24,500","21,900",606,5.7,94.3,24.1,22.4,19.4,15.4,10.5,4.8,3.3
Québec,1999,"25,600","22,800",618,4.6,95.4,22.1,22.6,19.1,15.5,11.5,5.6,3.7
Québec,2000,"26,100","22,600",630,3.7,96.3,19.9,23.9,20.5,15,10.2,6.3,4.2
Québec,2001,"27,100","23,100",617,4,96,18.3,24.2,19.9,14.1,11.4,6.8,5.3
Québec,2002,"28,600","24,200",549,2.3,97.7,17,21.6,23.3,14.2,9.5,8.4,6.1
Québec,2003,"28,700","24,700",583,2.5,97.5,18.7,19.2,21.5,16.8,10.3,7.2,6.3
Québec,2004,"30,400","26,000",581,2.4,97.6,17.4,19.5,20.4,16.7,11.6,7.8,6.5
Québec,2005,"29,900","25,100",562,1.3,98.7,17.9,19.4,22.5,16.8,10.3,6.1,7.1
Québec,2006,"30,700","27,500",534,1.6,98.4,15,19.2,21.8,18.7,11.1,6.4,7.8
Québec,2007,"31,300","27,500",554,1.5,98.5,17.2,18,19.5,19.2,10.2,6.7,9.2
Québec,2008,"32,100","29,600",633,1.4,98.6,16.3,15.5,18.8,19.8,12.2,6.7,10.7
Québec,2009,"35,600","31,000",631,2.1,97.9,14.8,12.5,20.3,20.7,11.6,8.2,11.9
Québec,2010,"34,100","31,200",662,1.3,98.7,14.1,14.8,18.9,21.1,12.1,7.7,11.2
Québec,2011,"34,300","29,900",651,1.4,98.6,15.2,17.6,17.4,16.7,15.1,7.4,10.6
Sherbrooke,1976,,,,,,,,,,,,
Sherbrooke,1977,,,,,,,,,,,,
Sherbrooke,1978,,,,,,,,,,,,
Sherbrooke,1979,,,,,,,,,,,,
Sherbrooke,1980,,,,,,,,,,,,
Sherbrooke,1981,,,,,,,,,,,,
Sherbrooke,1982,,,,,,,,,,,,
Sherbrooke,1983,,,,,,,,,,,,
Sherbrooke,1984,,,,,,,,,,,,
Sherbrooke,1985,,,,,,,,,,,,
Sherbrooke,1986,,,,,,,,,,,,
Sherbrooke,1987,,,,,,,,,,,,
Sherbrooke,1988,,,,,,,,,,,,
Sherbrooke,1989,,,,,,,,,,,,
Sherbrooke,1990,,,,,,,,,,,,
Sherbrooke,1991,,,,,,,,,,,,
