Geography,Year,Average income (dollars),Median income (dollars),"Number of persons (x 1,000)",Percentage without income,Percentage with income,"Percentage under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 and over"
Manitoba,2002,"27,700","23,600",855,1.8,98.2,19.2,23,20.7,15.7,9.5,5.9,6.1
Manitoba,2003,"27,200","22,900",864,2.3,97.7,19.4,23.2,21.4,14.9,9.6,5.7,5.8
Manitoba,2004,"27,800","23,200",868,2.6,97.4,19,22.8,20.9,16,8.7,6.1,6.4
Manitoba,2005,"28,200","23,800",874,2.9,97.1,20.1,21,20.7,15.5,9.3,5.8,7.6
Manitoba,2006,"28,900","24,000",882,2.7,97.3,19.9,20.3,20.5,16.3,9.2,6,7.9
Manitoba,2007,"30,500","25,200",896,1.9,98.1,18.1,20.7,19.6,16.2,9.6,6.2,9.6
Manitoba,2008,"31,400","26,300",909,1.6,98.4,16.7,20.9,19.3,16.1,10,6.8,10.2
Manitoba,2009,"31,200","27,100",917,2.1,97.9,17,20.3,19,16.3,10.2,6.7,10.7
Manitoba,2010,"31,100","26,600",929,1.4,98.6,17.3,19.6,19.2,17,10.5,5.9,10.5
Manitoba,2011,"31,200","27,200",937,1.5,98.5,16.5,19.4,20,16.3,11.1,7.2,9.5
Saskatchewan,1976,"23,400","14,800",666,17.5,82.5,39.3,18.5,11.3,8.9,8.2,5.9,7.9
Saskatchewan,1977,"23,000","17,000",678,15.1,84.9,36.4,18.2,12.9,12.3,7.8,5.5,6.9
Saskatchewan,1978,"23,500","19,100",688,16.5,83.5,35.8,15.7,15.6,11.4,8.3,6.4,6.6
Saskatchewan,1979,"24,500","17,900",696,14.8,85.2,34.3,18.7,12.9,11.5,8.8,6.3,7.5
Saskatchewan,1980,"25,600","18,800",705,12.6,87.4,32.3,19.5,13,10.6,8.5,8.4,7.8
Saskatchewan,1981,"26,000","20,100",714,11.1,88.9,29.5,20.1,14.9,12.6,8.5,6.1,8.2
Saskatchewan,1982,"25,300","19,700",724,10.1,89.9,29.1,21.4,15.2,11.9,9.3,5.6,7.5
Saskatchewan,1983,"24,600","19,400",735,11.2,88.8,29.9,21.4,16.7,11.7,8.2,5,7.2
Saskatchewan,1984,"24,400","19,300",745,9.2,90.8,29.1,22.2,15.6,12,8.9,5.8,6.3
Saskatchewan,1985,"24,500","19,500",749,8.2,91.8,28.9,21.9,15.9,12.2,9.3,5.4,6.3
Saskatchewan,1986,"24,000","19,000",752,8.8,91.2,27.8,24.3,17.2,11.2,8.6,4.7,6.2
Saskatchewan,1987,"24,100","19,600",751,7.8,92.2,26.7,24.3,17.7,12.3,8.2,5.5,5.3
Saskatchewan,1988,"24,100","19,500",745,7.3,92.7,25.7,25.2,17.1,13,8.8,4.8,5.3
Saskatchewan,1989,"24,200","20,000",736,6.7,93.3,24.8,25.2,17.8,12.6,8.9,5.8,4.9
Saskatchewan,1990,"23,600","19,600",732,6.2,93.8,26.9,24.3,18,12.6,9.2,4.8,4.2
Saskatchewan,1991,"22,900","18,900",729,6,94,27,25.4,18.4,12.2,8.5,4.6,3.8
Saskatchewan,1992,"24,000","19,200",733,6.6,93.4,27.9,24,17.1,13,7.9,5.1,5.1
Saskatchewan,1993,"23,000","19,000",730,5.8,94.2,25.6,27.2,17.6,12.6,8.5,5,3.4
Saskatchewan,1994,"23,000","19,300",736,5.6,94.4,25.4,26.5,18.5,12.8,9.1,4.4,3.2
Saskatchewan,1995,"23,400","19,900",740,4.9,95.1,25.1,25.2,20,13.1,8.7,4.3,3.7
Saskatchewan,1996,"23,500","20,000",739,4.3,95.7,23.7,26.3,19.6,14,9.1,4,3.3
Saskatchewan,1997,"23,600","20,100",741,4.6,95.4,23.4,26.3,19.5,14.7,8.8,4.1,3.2
Saskatchewan,1998,"24,400","20,500",737,3.5,96.5,22.4,26.6,19.2,14.2,9.3,4.5,3.9
Saskatchewan,1999,"25,100","21,100",733,3.3,96.7,21.6,25.9,17.9,15.2,9.8,5.6,3.9
Saskatchewan,2000,"25,500","21,300",731,3.3,96.7,22.2,24.9,18.1,14.8,10,5.3,4.7
Saskatchewan,2001,"27,300","23,200",726,2.8,97.2,19.4,24.3,19.4,14.7,10.3,5.8,6.1
Saskatchewan,2002,"27,200","23,000",724,2.5,97.5,19.8,24,18.7,16,9.2,5.8,6.5
Saskatchewan,2003,"27,400","23,000",731,2.5,97.5,20.4,23.8,18.5,15.4,9.5,5.5,6.9
Saskatchewan,2004,"27,300","22,500",734,2.7,97.3,20.8,23.5,19,14.6,8.9,5.8,7.4
Saskatchewan,2005,"28,500","23,200",736,2.5,97.5,20,22.9,19.5,14.5,8.7,5.7,8.7
Saskatchewan,2006,"29,700","24,200",742,2.8,97.2,19,22.4,18.3,15.1,9.6,5.9,9.7
Saskatchewan,2007,"31,200","25,400",756,2.7,97.3,17.5,21.5,18.8,14.8,9.7,6.8,10.7
Saskatchewan,2008,"33,500","28,400",763,2.1,97.9,16.1,19.8,17.2,15.5,10.6,8.3,12.5
Saskatchewan,2009,"34,800","29,200",773,2.2,97.8,15.2,18.5,17.6,15.6,11,8.3,13.8
Saskatchewan,2010,"34,400","29,100",786,1.9,98.1,15.6,18.8,17.2,15.2,11.2,8,14
Saskatchewan,2011,"35,900","30,400",798,2.1,97.9,15.1,18.4,16,14.6,12.4,8,15.5
Alberta,1976,"27,700","20,100","1,361",16.2,83.8,33.9,15.8,12.3,11.6,9.1,5.8,11.5
Alberta,1977,"27,200","21,500","1,439",14.8,85.2,32.8,14.9,13.6,11.3,8.9,7.3,11.2
Alberta,1978,"28,800","22,700","1,511",15.9,84.1,31.1,15.8,13.3,10.6,10.6,7,11.6
Alberta,1979,"28,300","23,500","1,581",12.5,87.5,29.2,15.7,13.6,12.8,10.8,7.5,10.3
Alberta,1980,"30,000","24,200","1,668",13,87,29.2,15.9,13.4,12,9.1,7.8,12.6
Alberta,1981,"30,200","25,900","1,740",9.6,90.4,25.6,15.7,15,13.4,11,7.6,11.7
Alberta,1982,"30,400","25,600","1,774",9.7,90.3,25.5,16.2,14.9,13.1,10.4,8.1,11.9
Alberta,1983,"27,800","22,700","1,779",10.7,89.3,26.9,18.5,16.1,12.4,9.1,6.6,10.4
Alberta,1984,"27,000","22,700","1,784",9.6,90.4,26.7,18.8,16,13.4,9.1,6.8,9.2
Alberta,1985,"28,300","23,100","1,805",8.2,91.8,25.2,19.2,16.5,12.7,10.3,6,10.2
Alberta,1986,"27,800","23,200","1,814",7.8,92.2,24.8,19.5,17.2,13.1,9.7,6.7,8.9
Alberta,1987,"26,800","21,800","1,819",7.4,92.6,24.8,21.3,17.4,12.8,9.2,6.7,7.8
Alberta,1988,"27,500","23,100","1,842",7.6,92.4,23.4,20.6,17.9,13.1,10,7,8
Alberta,1989,"27,700","23,400","1,872",6.3,93.7,22.5,20.7,17.7,12.7,11.9,6.4,8
Alberta,1990,"27,500","23,000","1,916",6.2,93.8,23.8,20.3,17.6,14.1,9.7,6.7,7.8
Alberta,1991,"27,300","22,300","1,947",6.8,93.2,23.8,21,18.2,13.3,9.8,6.4,7.5
Alberta,1992,"26,600","21,500","1,974",7.3,92.7,25.8,21,16.6,14.2,9.6,5.7,7.1
Alberta,1993,"26,600","22,000","1,997",6,94,24,21.8,18,12.9,10.1,6.1,7.1
Alberta,1994,"26,600","21,500","2,020",5.5,94.5,24,22.4,17.1,12.9,10.2,6.1,7.3
Alberta,1995,"26,600","21,800","2,056",5.4,94.6,24.9,20.9,17.8,13.2,10.3,5.7,7.1
Alberta,1996,"26,800","22,000","2,090",4.6,95.4,23.9,21.7,18.1,13.8,9.1,6.3,7
Alberta,1997,"28,100","22,500","2,155",4.5,95.5,23.3,21.5,18.1,13.4,9.3,6,8.3
Alberta,1998,"29,400","23,300","2,196",3.3,96.7,21.8,21.7,17.5,14.3,9.4,6.5,8.8
Alberta,1999,"29,400","23,600","2,245",2.8,97.2,20.8,21.8,17.8,14.3,10.3,6.4,8.6
Alberta,2000,"30,700","24,500","2,298",2.8,97.2,20.4,20.7,18.2,13.8,10.1,6.7,10
Alberta,2001,"33,000","26,600","2,341",2.4,97.6,18.2,19.3,17.5,14.8,10.3,6.9,12.9
Alberta,2002,"32,400","26,100","2,397",2,98,19.3,19.2,17.6,13.4,10.4,7,13
Alberta,2003,"32,500","25,800","2,445",3,97,20.4,17.9,18.3,14,9.9,6.5,12.8
Alberta,2004,"33,900","27,300","2,481",2.8,97.2,19.3,17.5,17.6,14.6,10,6.5,14.5
Alberta,2005,"35,400","28,500","2,552",2.3,97.7,17.2,18,17.2,14.4,10.2,7.5,15.4
Alberta,2006,"37,800","30,300","2,703",1,99,16.2,16.3,17,14.7,11.4,7.4,16.9
Alberta,2007,"39,600","31,600","2,769",1.9,98.1,15.4,15.7,16.7,14.2,11.1,8.5,18.4
Alberta,2008,"40,400","32,300","2,847",1.8,98.2,15.3,14.7,17,13.3,11.9,7.9,19.9
Alberta,2009,"40,200","32,200","2,894",2.8,97.2,16.5,15.2,15.2,13.4,11.9,7.7,20
Alberta,2010,"40,100","31,700","2,940",2.6,97.4,15.8,15.6,16.5,13.1,11.6,7.4,19.9
Alberta,2011,"41,900","33,300","2,993",2.4,97.6,15.5,14.4,15.9,13.7,12.3,7.3,20.9
British Columbia,1976,"28,300","21,400","1,900",15.9,84.1,33.1,15.6,11.5,10.7,10.3,7.7,11
British Columbia,1977,"26,800","21,700","1,945",14.9,85.1,31,16.8,12.9,11.3,9.7,8,10.2
British Columbia,1978,"27,900","23,100","2,002",15.3,84.7,32.1,13.7,13.3,11.7,10.2,8,10.9
British Columbia,1979,"27,800","22,100","2,066",13.7,86.3,29.9,17.3,12.7,11.4,9.3,8.8,10.6
British Columbia,1980,"29,500","24,500","2,137",11.1,88.9,27.5,16.6,12,12.9,10.7,8.6,11.7
British Columbia,1981,"28,600","23,700","2,193",10.1,89.9,27,17.2,14.7,11.4,10.6,8.2,10.9
British Columbia,1982,"27,700","22,700","2,225",10.8,89.2,27.3,18.6,13.9,12,10.6,7.5,10
British Columbia,1983,"26,800","21,000","2,261",11.1,88.9,27.6,20.8,14,11.5,10.3,6.7,9.2
British Columbia,1984,"26,000","20,300","2,293",9.8,90.2,29,20.4,14.4,11.3,9.8,6.9,8.2
British Columbia,1985,"26,400","20,200","2,321",9.2,90.8,28.7,21.1,14.5,11.3,8.9,7.2,8.3
British Columbia,1986,"26,800","21,300","2,350",8.7,91.3,26.4,21.2,16,11.1,9.9,7.4,8
British Columbia,1987,"26,200","21,600","2,395",7.4,92.6,26.4,20.8,16.7,12.5,10.9,6.4,6.3
British Columbia,1988,"27,200","22,400","2,450",7,93,23,22.3,16.8,12.2,11.5,7.4,6.8
British Columbia,1989,"27,500","23,700","2,515",6.6,93.4,22.2,19.9,18.5,13.2,11.7,7.9,6.5
British Columbia,1990,"27,200","22,500","2,594",7,93,23.6,21.5,16.7,13.6,10.2,7.1,7.4
British Columbia,1991,"26,300","22,000","2,657",7.6,92.4,23.9,22.3,17,14.2,9.1,7,6.4
British Columbia,1992,"27,100","22,300","2,737",7.2,92.8,24,21.4,16.4,14,10.8,6.4,7
British Columbia,1993,"26,400","21,900","2,800",5.8,94.2,23.5,22.9,16.9,13.5,10.1,6.8,6.3
British Columbia,1994,"26,400","22,000","2,894",6.3,93.7,23.4,22.3,17.9,13.2,10.3,6.6,6.4
British Columbia,1995,"26,600","22,400","2,973",6.2,93.8,23.6,21.5,17.9,13.1,10.6,6.8,6.6
British Columbia,1996,"26,300","21,600","3,055",5.7,94.3,24.3,22.2,17.3,13.6,9.5,6.1,7
British Columbia,1997,"26,400","21,800","3,107",5.4,94.6,25.3,20.8,17.5,13.7,9.6,6.2,6.9
British Columbia,1998,"27,000","22,300","3,098",3.3,96.7,22.7,22.6,18,13.7,9.3,6.3,7.3
British Columbia,1999,"27,400","22,500","3,133",4.3,95.7,23.1,22,16.9,14.5,9.5,6.5,7.5
British Columbia,2000,"27,200","22,000","3,172",3.9,96.1,23.4,22.6,15.9,14.2,9.4,6.2,8.3
British Columbia,2001,"28,600","23,200","3,223",4,96,23.1,21.5,15.5,14.4,10.2,5.8,9.3
British Columbia,2002,"29,300","22,500","3,260",3,97,22.1,22.8,16,13.3,9.9,6.5,9.4
British Columbia,2003,"28,700","22,200","3,301",3.4,96.6,22.5,23.2,15.7,13,9.5,6.4,9.6
British Columbia,2004,"29,500","22,800","3,359",3.1,96.9,21,24.2,15.3,12.8,9.9,5.8,10.9
British Columbia,2005,"30,400","23,600","3,432",2.5,97.5,21,21.5,17.4,13.7,9.3,6.3,10.8
British Columbia,2006,"31,600","25,100","3,439",2.7,97.3,19.7,21.3,16.5,13.6,10.4,6.7,12
British Columbia,2007,"32,800","26,600","3,509",2.2,97.8,19.4,19.1,17.5,13.9,10.3,7.2,12.6
British Columbia,2008,"34,100","26,600","3,578",0.5,99.5,18.6,20.1,15.8,13.2,11.2,7.1,13.9
British Columbia,2009,"33,200","26,500","3,654",2.3,97.7,19.9,20.2,15.2,13.4,10.6,7.6,13
British Columbia,2010,"32,700","25,100","3,717",2.5,97.5,20.5,21.4,14.8,12.3,10.6,7.1,13.2
British Columbia,2011,"32,500","25,900","3,743",2.4,97.6,18.2,21.4,16.8,13.1,10.8,6.4,13.3
