Year,GEO,Income concept,Economic family type,GINI
1983,Prince Edward Island,After-tax income,"Elderly males, non-earner",
1983,Prince Edward Island,After-tax income,"Elderly males, earner",
1983,Prince Edward Island,After-tax income,Elderly females,
1983,Prince Edward Island,After-tax income,"Elderly females, non-earner",
1983,Prince Edward Island,After-tax income,"Elderly females, earner",
1983,Prince Edward Island,After-tax income,Non-elderly males,
1983,Prince Edward Island,After-tax income,"Non-elderly males, non-earner",
1983,Prince Edward Island,After-tax income,"Non-elderly males, earner",
1983,Prince Edward Island,After-tax income,Non-elderly females,
1983,Prince Edward Island,After-tax income,"Non-elderly females, non-earner",
1983,Prince Edward Island,After-tax income,"Non-elderly females, earner",
1983,Nova Scotia,Market income,All family units,0.495
1983,Nova Scotia,Market income,"Economic families, two persons or more",0.444
1983,Nova Scotia,Market income,Elderly families,0.637
1983,Nova Scotia,Market income,Elderly married couples,0.707
1983,Nova Scotia,Market income,Other elderly families,0.507
1983,Nova Scotia,Market income,Non-elderly families,0.394
1983,Nova Scotia,Market income,Married couples,0.398
1983,Nova Scotia,Market income,"Married couples, no earners",
1983,Nova Scotia,Market income,"Married couples, one earner",
1983,Nova Scotia,Market income,"Married couples, two earners",0.285
1983,Nova Scotia,Market income,Two-parent families with children,0.332
1983,Nova Scotia,Market income,"Two-parent families with children, no earners",
1983,Nova Scotia,Market income,"Two-parent families with children, one earner",0.357
1983,Nova Scotia,Market income,"Two-parent families with children, two earners",0.308
1983,Nova Scotia,Market income,"Two-parent families with children, three or more earners",0.223
1983,Nova Scotia,Market income,Married couples with other relatives,0.358
1983,Nova Scotia,Market income,Lone-parent families,0.564
1983,Nova Scotia,Market income,Male lone-parent families,
1983,Nova Scotia,Market income,Female lone-parent families,0.567
1983,Nova Scotia,Market income,"Female lone-parent families, no earners",
1983,Nova Scotia,Market income,"Female lone-parent families, one earner",
1983,Nova Scotia,Market income,"Female lone-parent families, two or more earners",
1983,Nova Scotia,Market income,Other non-elderly families,
1983,Nova Scotia,Market income,Unattached individuals,0.55
1983,Nova Scotia,Market income,Elderly males,
1983,Nova Scotia,Market income,"Elderly males, non-earner",
1983,Nova Scotia,Market income,"Elderly males, earner",
1983,Nova Scotia,Market income,Elderly females,0.687
1983,Nova Scotia,Market income,"Elderly females, non-earner",0.731
1983,Nova Scotia,Market income,"Elderly females, earner",
1983,Nova Scotia,Market income,Non-elderly males,0.439
1983,Nova Scotia,Market income,"Non-elderly males, non-earner",
1983,Nova Scotia,Market income,"Non-elderly males, earner",0.359
1983,Nova Scotia,Market income,Non-elderly females,0.478
1983,Nova Scotia,Market income,"Non-elderly females, non-earner",
1983,Nova Scotia,Market income,"Non-elderly females, earner",0.418
1983,Nova Scotia,Total income,All family units,0.387
1983,Nova Scotia,Total income,"Economic families, two persons or more",0.338
1983,Nova Scotia,Total income,Elderly families,0.29
1983,Nova Scotia,Total income,Elderly married couples,0.249
1983,Nova Scotia,Total income,Other elderly families,0.29
1983,Nova Scotia,Total income,Non-elderly families,0.327
1983,Nova Scotia,Total income,Married couples,0.333
1983,Nova Scotia,Total income,"Married couples, no earners",
1983,Nova Scotia,Total income,"Married couples, one earner",
1983,Nova Scotia,Total income,"Married couples, two earners",0.253
1983,Nova Scotia,Total income,Two-parent families with children,0.276
1983,Nova Scotia,Total income,"Two-parent families with children, no earners",
1983,Nova Scotia,Total income,"Two-parent families with children, one earner",0.276
1983,Nova Scotia,Total income,"Two-parent families with children, two earners",0.254
1983,Nova Scotia,Total income,"Two-parent families with children, three or more earners",0.2
1983,Nova Scotia,Total income,Married couples with other relatives,0.315
1983,Nova Scotia,Total income,Lone-parent families,0.318
1983,Nova Scotia,Total income,Male lone-parent families,
1983,Nova Scotia,Total income,Female lone-parent families,0.306
1983,Nova Scotia,Total income,"Female lone-parent families, no earners",
1983,Nova Scotia,Total income,"Female lone-parent families, one earner",
1983,Nova Scotia,Total income,"Female lone-parent families, two or more earners",
1983,Nova Scotia,Total income,Other non-elderly families,
1983,Nova Scotia,Total income,Unattached individuals,0.386
1983,Nova Scotia,Total income,Elderly males,
1983,Nova Scotia,Total income,"Elderly males, non-earner",
1983,Nova Scotia,Total income,"Elderly males, earner",
1983,Nova Scotia,Total income,Elderly females,0.275
1983,Nova Scotia,Total income,"Elderly females, non-earner",0.263
1983,Nova Scotia,Total income,"Elderly females, earner",
1983,Nova Scotia,Total income,Non-elderly males,0.399
1983,Nova Scotia,Total income,"Non-elderly males, non-earner",
1983,Nova Scotia,Total income,"Non-elderly males, earner",0.332
1983,Nova Scotia,Total income,Non-elderly females,0.417
1983,Nova Scotia,Total income,"Non-elderly females, non-earner",
1983,Nova Scotia,Total income,"Non-elderly females, earner",0.396
1983,Nova Scotia,After-tax income,All family units,0.359
1983,Nova Scotia,After-tax income,"Economic families, two persons or more",0.308
1983,Nova Scotia,After-tax income,Elderly families,0.261
1983,Nova Scotia,After-tax income,Elderly married couples,0.23
1983,Nova Scotia,After-tax income,Other elderly families,0.252
1983,Nova Scotia,After-tax income,Non-elderly families,0.301
1983,Nova Scotia,After-tax income,Married couples,0.301
1983,Nova Scotia,After-tax income,"Married couples, no earners",
1983,Nova Scotia,After-tax income,"Married couples, one earner",
1983,Nova Scotia,After-tax income,"Married couples, two earners",0.222
1983,Nova Scotia,After-tax income,Two-parent families with children,0.251
1983,Nova Scotia,After-tax income,"Two-parent families with children, no earners",
1983,Nova Scotia,After-tax income,"Two-parent families with children, one earner",0.238
1983,Nova Scotia,After-tax income,"Two-parent families with children, two earners",0.222
1983,Nova Scotia,After-tax income,"Two-parent families with children, three or more earners",0.197
1983,Nova Scotia,After-tax income,Married couples with other relatives,0.298
1983,Nova Scotia,After-tax income,Lone-parent families,0.297
1983,Nova Scotia,After-tax income,Male lone-parent families,
1983,Nova Scotia,After-tax income,Female lone-parent families,0.277
1983,Nova Scotia,After-tax income,"Female lone-parent families, no earners",
1983,Nova Scotia,After-tax income,"Female lone-parent families, one earner",
1983,Nova Scotia,After-tax income,"Female lone-parent families, two or more earners",
1983,Nova Scotia,After-tax income,Other non-elderly families,
1983,Nova Scotia,After-tax income,Unattached individuals,0.349
1983,Nova Scotia,After-tax income,Elderly males,
1983,Nova Scotia,After-tax income,"Elderly males, non-earner",
1983,Nova Scotia,After-tax income,"Elderly males, earner",
1983,Nova Scotia,After-tax income,Elderly females,0.244
1983,Nova Scotia,After-tax income,"Elderly females, non-earner",0.236
1983,Nova Scotia,After-tax income,"Elderly females, earner",
1983,Nova Scotia,After-tax income,Non-elderly males,0.373
1983,Nova Scotia,After-tax income,"Non-elderly males, non-earner",
1983,Nova Scotia,After-tax income,"Non-elderly males, earner",0.305
1983,Nova Scotia,After-tax income,Non-elderly females,0.381
1983,Nova Scotia,After-tax income,"Non-elderly females, non-earner",
1983,Nova Scotia,After-tax income,"Non-elderly females, earner",0.362
1983,New Brunswick,Market income,All family units,0.537
1983,New Brunswick,Market income,"Economic families, two persons or more",0.483
1983,New Brunswick,Market income,Elderly families,0.672
1983,New Brunswick,Market income,Elderly married couples,0.728
1983,New Brunswick,Market income,Other elderly families,0.491
1983,New Brunswick,Market income,Non-elderly families,0.438
1983,New Brunswick,Market income,Married couples,0.461
1983,New Brunswick,Market income,"Married couples, no earners",
1983,New Brunswick,Market income,"Married couples, one earner",0.452
1983,New Brunswick,Market income,"Married couples, two earners",0.414
1983,New Brunswick,Market income,Two-parent families with children,0.372
1983,New Brunswick,Market income,"Two-parent families with children, no earners",
1983,New Brunswick,Market income,"Two-parent families with children, one earner",0.377
1983,New Brunswick,Market income,"Two-parent families with children, two earners",0.333
1983,New Brunswick,Market income,"Two-parent families with children, three or more earners",0.285
1983,New Brunswick,Market income,Married couples with other relatives,0.454
1983,New Brunswick,Market income,Lone-parent families,0.691
1983,New Brunswick,Market income,Male lone-parent families,
1983,New Brunswick,Market income,Female lone-parent families,0.675
1983,New Brunswick,Market income,"Female lone-parent families, no earners",
1983,New Brunswick,Market income,"Female lone-parent families, one earner",
1983,New Brunswick,Market income,"Female lone-parent families, two or more earners",
1983,New Brunswick,Market income,Other non-elderly families,0.443
1983,New Brunswick,Market income,Unattached individuals,0.669
1983,New Brunswick,Market income,Elderly males,
1983,New Brunswick,Market income,"Elderly males, non-earner",
1983,New Brunswick,Market income,"Elderly males, earner",
1983,New Brunswick,Market income,Elderly females,0.775
1983,New Brunswick,Market income,"Elderly females, non-earner",0.807
1983,New Brunswick,Market income,"Elderly females, earner",
1983,New Brunswick,Market income,Non-elderly males,0.658
1983,New Brunswick,Market income,"Non-elderly males, non-earner",
1983,New Brunswick,Market income,"Non-elderly males, earner",
1983,New Brunswick,Market income,Non-elderly females,0.502
1983,New Brunswick,Market income,"Non-elderly females, non-earner",
1983,New Brunswick,Market income,"Non-elderly females, earner",0.368
1983,New Brunswick,Total income,All family units,0.401
1983,New Brunswick,Total income,"Economic families, two persons or more",0.353
1983,New Brunswick,Total income,Elderly families,0.26
1983,New Brunswick,Total income,Elderly married couples,0.151
1983,New Brunswick,Total income,Other elderly families,0.252
1983,New Brunswick,Total income,Non-elderly families,0.346
1983,New Brunswick,Total income,Married couples,0.391
1983,New Brunswick,Total income,"Married couples, no earners",
1983,New Brunswick,Total income,"Married couples, one earner",0.36
1983,New Brunswick,Total income,"Married couples, two earners",0.355
1983,New Brunswick,Total income,Two-parent families with children,0.298
1983,New Brunswick,Total income,"Two-parent families with children, no earners",
1983,New Brunswick,Total income,"Two-parent families with children, one earner",0.286
1983,New Brunswick,Total income,"Two-parent families with children, two earners",0.274
1983,New Brunswick,Total income,"Two-parent families with children, three or more earners",0.226
1983,New Brunswick,Total income,Married couples with other relatives,0.34
1983,New Brunswick,Total income,Lone-parent families,0.348
1983,New Brunswick,Total income,Male lone-parent families,
1983,New Brunswick,Total income,Female lone-parent families,0.348
1983,New Brunswick,Total income,"Female lone-parent families, no earners",
1983,New Brunswick,Total income,"Female lone-parent families, one earner",
1983,New Brunswick,Total income,"Female lone-parent families, two or more earners",
1983,New Brunswick,Total income,Other non-elderly families,0.301
1983,New Brunswick,Total income,Unattached individuals,0.429
1983,New Brunswick,Total income,Elderly males,
1983,New Brunswick,Total income,"Elderly males, non-earner",
1983,New Brunswick,Total income,"Elderly males, earner",
1983,New Brunswick,Total income,Elderly females,0.301
1983,New Brunswick,Total income,"Elderly females, non-earner",0.24
1983,New Brunswick,Total income,"Elderly females, earner",
1983,New Brunswick,Total income,Non-elderly males,0.549
1983,New Brunswick,Total income,"Non-elderly males, non-earner",
1983,New Brunswick,Total income,"Non-elderly males, earner",
1983,New Brunswick,Total income,Non-elderly females,0.4
1983,New Brunswick,Total income,"Non-elderly females, non-earner",
1983,New Brunswick,Total income,"Non-elderly females, earner",0.329
1983,New Brunswick,After-tax income,All family units,0.367
1983,New Brunswick,After-tax income,"Economic families, two persons or more",0.316
1983,New Brunswick,After-tax income,Elderly families,0.239
1983,New Brunswick,After-tax income,Elderly married couples,0.139
1983,New Brunswick,After-tax income,Other elderly families,0.233
1983,New Brunswick,After-tax income,Non-elderly families,0.312
1983,New Brunswick,After-tax income,Married couples,0.343
1983,New Brunswick,After-tax income,"Married couples, no earners",
1983,New Brunswick,After-tax income,"Married couples, one earner",0.302
1983,New Brunswick,After-tax income,"Married couples, two earners",0.307
1983,New Brunswick,After-tax income,Two-parent families with children,0.269
1983,New Brunswick,After-tax income,"Two-parent families with children, no earners",
1983,New Brunswick,After-tax income,"Two-parent families with children, one earner",0.248
1983,New Brunswick,After-tax income,"Two-parent families with children, two earners",0.247
1983,New Brunswick,After-tax income,"Two-parent families with children, three or more earners",0.202
1983,New Brunswick,After-tax income,Married couples with other relatives,0.312
1983,New Brunswick,After-tax income,Lone-parent families,0.324
1983,New Brunswick,After-tax income,Male lone-parent families,
1983,New Brunswick,After-tax income,Female lone-parent families,0.323
1983,New Brunswick,After-tax income,"Female lone-parent families, no earners",
1983,New Brunswick,After-tax income,"Female lone-parent families, one earner",
1983,New Brunswick,After-tax income,"Female lone-parent families, two or more earners",
1983,New Brunswick,After-tax income,Other non-elderly families,0.266
1983,New Brunswick,After-tax income,Unattached individuals,0.385
1983,New Brunswick,After-tax income,Elderly males,
1983,New Brunswick,After-tax income,"Elderly males, non-earner",
1983,New Brunswick,After-tax income,"Elderly males, earner",
1983,New Brunswick,After-tax income,Elderly females,0.257
1983,New Brunswick,After-tax income,"Elderly females, non-earner",0.211
1983,New Brunswick,After-tax income,"Elderly females, earner",
1983,New Brunswick,After-tax income,Non-elderly males,0.51
1983,New Brunswick,After-tax income,"Non-elderly males, non-earner",
1983,New Brunswick,After-tax income,"Non-elderly males, earner",
1983,New Brunswick,After-tax income,Non-elderly females,0.366
1983,New Brunswick,After-tax income,"Non-elderly females, non-earner",
1983,New Brunswick,After-tax income,"Non-elderly females, earner",0.296
1983,Quebec,Market income,All family units,0.475
1983,Quebec,Market income,"Economic families, two persons or more",0.4
1983,Quebec,Market income,Elderly families,0.602
1983,Quebec,Market income,Elderly married couples,0.622
1983,Quebec,Market income,Other elderly families,0.546
1983,Quebec,Market income,Non-elderly families,0.367
1983,Quebec,Market income,Married couples,0.358
1983,Quebec,Market income,"Married couples, no earners",0.724
1983,Quebec,Market income,"Married couples, one earner",0.365
1983,Quebec,Market income,"Married couples, two earners",0.29
1983,Quebec,Market income,Two-parent families with children,0.332
1983,Quebec,Market income,"Two-parent families with children, no earners",0.959
1983,Quebec,Market income,"Two-parent families with children, one earner",0.311
1983,Quebec,Market income,"Two-parent families with children, two earners",0.29
1983,Quebec,Market income,"Two-parent families with children, three or more earners",0.279
1983,Quebec,Market income,Married couples with other relatives,0.277
1983,Quebec,Market income,Lone-parent families,0.604
1983,Quebec,Market income,Male lone-parent families,
1983,Quebec,Market income,Female lone-parent families,0.603
1983,Quebec,Market income,"Female lone-parent families, no earners",0.883
1983,Quebec,Market income,"Female lone-parent families, one earner",0.389
1983,Quebec,Market income,"Female lone-parent families, two or more earners",
1983,Quebec,Market income,Other non-elderly families,0.446
1983,Quebec,Market income,Unattached individuals,0.625
1983,Quebec,Market income,Elderly males,0.701
1983,Quebec,Market income,"Elderly males, non-earner",0.674
1983,Quebec,Market income,"Elderly males, earner",
1983,Quebec,Market income,Elderly females,0.777
1983,Quebec,Market income,"Elderly females, non-earner",0.781
1983,Quebec,Market income,"Elderly females, earner",
1983,Quebec,Market income,Non-elderly males,0.574
1983,Quebec,Market income,"Non-elderly males, non-earner",0.936
1983,Quebec,Market income,"Non-elderly males, earner",0.461
1983,Quebec,Market income,Non-elderly females,0.493
1983,Quebec,Market income,"Non-elderly females, non-earner",0.839
1983,Quebec,Market income,"Non-elderly females, earner",0.358
1983,Quebec,Total income,All family units,0.382
1983,Quebec,Total income,"Economic families, two persons or more",0.317
1983,Quebec,Total income,Elderly families,0.339
1983,Quebec,Total income,Elderly married couples,0.325
1983,Quebec,Total income,Other elderly families,0.329
1983,Quebec,Total income,Non-elderly families,0.306
1983,Quebec,Total income,Married couples,0.311
1983,Quebec,Total income,"Married couples, no earners",0.352
1983,Quebec,Total income,"Married couples, one earner",0.321
1983,Quebec,Total income,"Married couples, two earners",0.261
1983,Quebec,Total income,Two-parent families with children,0.275
1983,Quebec,Total income,"Two-parent families with children, no earners",0.183
1983,Quebec,Total income,"Two-parent families with children, one earner",0.243
1983,Quebec,Total income,"Two-parent families with children, two earners",0.249
1983,Quebec,Total income,"Two-parent families with children, three or more earners",0.248
1983,Quebec,Total income,Married couples with other relatives,0.236
1983,Quebec,Total income,Lone-parent families,0.354
1983,Quebec,Total income,Male lone-parent families,
1983,Quebec,Total income,Female lone-parent families,0.329
1983,Quebec,Total income,"Female lone-parent families, no earners",0.206
1983,Quebec,Total income,"Female lone-parent families, one earner",0.284
1983,Quebec,Total income,"Female lone-parent families, two or more earners",
1983,Quebec,Total income,Other non-elderly families,0.34
1983,Quebec,Total income,Unattached individuals,0.437
1983,Quebec,Total income,Elderly males,0.252
1983,Quebec,Total income,"Elderly males, non-earner",0.215
1983,Quebec,Total income,"Elderly males, earner",
1983,Quebec,Total income,Elderly females,0.245
1983,Quebec,Total income,"Elderly females, non-earner",0.234
1983,Quebec,Total income,"Elderly females, earner",
1983,Quebec,Total income,Non-elderly males,0.471
1983,Quebec,Total income,"Non-elderly males, non-earner",0.289
1983,Quebec,Total income,"Non-elderly males, earner",0.412
1983,Quebec,Total income,Non-elderly females,0.395
1983,Quebec,Total income,"Non-elderly females, non-earner",0.421
1983,Quebec,Total income,"Non-elderly females, earner",0.323
1983,Quebec,After-tax income,All family units,0.346
1983,Quebec,After-tax income,"Economic families, two persons or more",0.279
1983,Quebec,After-tax income,Elderly families,0.294
1983,Quebec,After-tax income,Elderly married couples,0.269
1983,Quebec,After-tax income,Other elderly families,0.296
1983,Quebec,After-tax income,Non-elderly families,0.271
1983,Quebec,After-tax income,Married couples,0.274
1983,Quebec,After-tax income,"Married couples, no earners",0.365
1983,Quebec,After-tax income,"Married couples, one earner",0.275
1983,Quebec,After-tax income,"Married couples, two earners",0.225
1983,Quebec,After-tax income,Two-parent families with children,0.239
1983,Quebec,After-tax income,"Two-parent families with children, no earners",0.183
1983,Quebec,After-tax income,"Two-parent families with children, one earner",0.197
1983,Quebec,After-tax income,"Two-parent families with children, two earners",0.215
1983,Quebec,After-tax income,"Two-parent families with children, three or more earners",0.214
1983,Quebec,After-tax income,Married couples with other relatives,0.206
1983,Quebec,After-tax income,Lone-parent families,0.32
1983,Quebec,After-tax income,Male lone-parent families,
1983,Quebec,After-tax income,Female lone-parent families,0.3
1983,Quebec,After-tax income,"Female lone-parent families, no earners",0.2
1983,Quebec,After-tax income,"Female lone-parent families, one earner",0.257
1983,Quebec,After-tax income,"Female lone-parent families, two or more earners",
1983,Quebec,After-tax income,Other non-elderly families,0.309
1983,Quebec,After-tax income,Unattached individuals,0.379
1983,Quebec,After-tax income,Elderly males,0.225
1983,Quebec,After-tax income,"Elderly males, non-earner",0.192
1983,Quebec,After-tax income,"Elderly males, earner",
1983,Quebec,After-tax income,Elderly females,0.217
1983,Quebec,After-tax income,"Elderly females, non-earner",0.207
1983,Quebec,After-tax income,"Elderly females, earner",
1983,Quebec,After-tax income,Non-elderly males,0.417
1983,Quebec,After-tax income,"Non-elderly males, non-earner",0.249
1983,Quebec,After-tax income,"Non-elderly males, earner",0.362
1983,Quebec,After-tax income,Non-elderly females,0.351
1983,Quebec,After-tax income,"Non-elderly females, non-earner",0.39
1983,Quebec,After-tax income,"Non-elderly females, earner",0.283
1983,Ontario,Market income,All family units,0.457
1983,Ontario,Market income,"Economic families, two persons or more",0.39
1983,Ontario,Market income,Elderly families,0.573
1983,Ontario,Market income,Elderly married couples,0.595
1983,Ontario,Market income,Other elderly families,0.501
1983,Ontario,Market income,Non-elderly families,0.357
1983,Ontario,Market income,Married couples,0.335
1983,Ontario,Market income,"Married couples, no earners",0.492
1983,Ontario,Market income,"Married couples, one earner",0.354
1983,Ontario,Market income,"Married couples, two earners",0.29
1983,Ontario,Market income,Two-parent families with children,0.319
1983,Ontario,Market income,"Two-parent families with children, no earners",
1983,Ontario,Market income,"Two-parent families with children, one earner",0.343
1983,Ontario,Market income,"Two-parent families with children, two earners",0.286
1983,Ontario,Market income,"Two-parent families with children, three or more earners",0.295
1983,Ontario,Market income,Married couples with other relatives,0.313
1983,Ontario,Market income,Lone-parent families,0.536
1983,Ontario,Market income,Male lone-parent families,0.281
1983,Ontario,Market income,Female lone-parent families,0.582
1983,Ontario,Market income,"Female lone-parent families, no earners",0.9
1983,Ontario,Market income,"Female lone-parent families, one earner",0.504
1983,Ontario,Market income,"Female lone-parent families, two or more earners",0.354
1983,Ontario,Market income,Other non-elderly families,0.359
1983,Ontario,Market income,Unattached individuals,0.553
1983,Ontario,Market income,Elderly males,0.656
1983,Ontario,Market income,"Elderly males, non-earner",0.665
1983,Ontario,Market income,"Elderly males, earner",
1983,Ontario,Market income,Elderly females,0.668
1983,Ontario,Market income,"Elderly females, non-earner",0.681
1983,Ontario,Market income,"Elderly females, earner",
1983,Ontario,Market income,Non-elderly males,0.482
1983,Ontario,Market income,"Non-elderly males, non-earner",0.825
1983,Ontario,Market income,"Non-elderly males, earner",0.423
1983,Ontario,Market income,Non-elderly females,0.468
1983,Ontario,Market income,"Non-elderly females, non-earner",0.813
1983,Ontario,Market income,"Non-elderly females, earner",0.38
1983,Ontario,Total income,All family units,0.393
1983,Ontario,Total income,"Economic families, two persons or more",0.335
1983,Ontario,Total income,Elderly families,0.34
1983,Ontario,Total income,Elderly married couples,0.331
1983,Ontario,Total income,Other elderly families,0.335
1983,Ontario,Total income,Non-elderly families,0.324
1983,Ontario,Total income,Married couples,0.305
1983,Ontario,Total income,"Married couples, no earners",0.377
1983,Ontario,Total income,"Married couples, one earner",0.323
1983,Ontario,Total income,"Married couples, two earners",0.272
1983,Ontario,Total income,Two-parent families with children,0.293
1983,Ontario,Total income,"Two-parent families with children, no earners",
1983,Ontario,Total income,"Two-parent families with children, one earner",0.305
1983,Ontario,Total income,"Two-parent families with children, two earners",0.263
1983,Ontario,Total income,"Two-parent families with children, three or more earners",0.277
1983,Ontario,Total income,Married couples with other relatives,0.292
1983,Ontario,Total income,Lone-parent families,0.379
1983,Ontario,Total income,Male lone-parent families,0.244
1983,Ontario,Total income,Female lone-parent families,0.388
1983,Ontario,Total income,"Female lone-parent families, no earners",0.2
1983,Ontario,Total income,"Female lone-parent families, one earner",0.366
1983,Ontario,Total income,"Female lone-parent families, two or more earners",0.317
1983,Ontario,Total income,Other non-elderly families,0.314
1983,Ontario,Total income,Unattached individuals,0.418
1983,Ontario,Total income,Elderly males,0.378
1983,Ontario,Total income,"Elderly males, non-earner",0.337
1983,Ontario,Total income,"Elderly males, earner",
1983,Ontario,Total income,Elderly females,0.294
1983,Ontario,Total income,"Elderly females, non-earner",0.284
1983,Ontario,Total income,"Elderly females, earner",
1983,Ontario,Total income,Non-elderly males,0.419
1983,Ontario,Total income,"Non-elderly males, non-earner",0.345
1983,Ontario,Total income,"Non-elderly males, earner",0.385
1983,Ontario,Total income,Non-elderly females,0.409
1983,Ontario,Total income,"Non-elderly females, non-earner",0.565
1983,Ontario,Total income,"Non-elderly females, earner",0.356
1983,Ontario,After-tax income,All family units,0.364
1983,Ontario,After-tax income,"Economic families, two persons or more",0.304
1983,Ontario,After-tax income,Elderly families,0.304
1983,Ontario,After-tax income,Elderly married couples,0.293
1983,Ontario,After-tax income,Other elderly families,0.301
1983,Ontario,After-tax income,Non-elderly families,0.296
1983,Ontario,After-tax income,Married couples,0.28
1983,Ontario,After-tax income,"Married couples, no earners",0.354
1983,Ontario,After-tax income,"Married couples, one earner",0.288
1983,Ontario,After-tax income,"Married couples, two earners",0.25
1983,Ontario,After-tax income,Two-parent families with children,0.264
1983,Ontario,After-tax income,"Two-parent families with children, no earners",
1983,Ontario,After-tax income,"Two-parent families with children, one earner",0.259
1983,Ontario,After-tax income,"Two-parent families with children, two earners",0.238
1983,Ontario,After-tax income,"Two-parent families with children, three or more earners",0.247
1983,Ontario,After-tax income,Married couples with other relatives,0.262
1983,Ontario,After-tax income,Lone-parent families,0.352
1983,Ontario,After-tax income,Male lone-parent families,0.219
1983,Ontario,After-tax income,Female lone-parent families,0.362
1983,Ontario,After-tax income,"Female lone-parent families, no earners",0.2
1983,Ontario,After-tax income,"Female lone-parent families, one earner",0.337
1983,Ontario,After-tax income,"Female lone-parent families, two or more earners",0.304
1983,Ontario,After-tax income,Other non-elderly families,0.289
1983,Ontario,After-tax income,Unattached individuals,0.375
1983,Ontario,After-tax income,Elderly males,0.331
1983,Ontario,After-tax income,"Elderly males, non-earner",0.291
1983,Ontario,After-tax income,"Elderly males, earner",
1983,Ontario,After-tax income,Elderly females,0.26
1983,Ontario,After-tax income,"Elderly females, non-earner",0.251
1983,Ontario,After-tax income,"Elderly females, earner",
1983,Ontario,After-tax income,Non-elderly males,0.384
1983,Ontario,After-tax income,"Non-elderly males, non-earner",0.325
1983,Ontario,After-tax income,"Non-elderly males, earner",0.353
1983,Ontario,After-tax income,Non-elderly females,0.373
1983,Ontario,After-tax income,"Non-elderly females, non-earner",0.501
1983,Ontario,After-tax income,"Non-elderly females, earner",0.325
1983,Manitoba,Market income,All family units,0.468
1983,Manitoba,Market income,"Economic families, two persons or more",0.402
1983,Manitoba,Market income,Elderly families,0.536
1983,Manitoba,Market income,Elderly married couples,0.587
1983,Manitoba,Market income,Other elderly families,
1983,Manitoba,Market income,Non-elderly families,0.358
1983,Manitoba,Market income,Married couples,0.35
1983,Manitoba,Market income,"Married couples, no earners",
1983,Manitoba,Market income,"Married couples, one earner",0.382
1983,Manitoba,Market income,"Married couples, two earners",0.336
1983,Manitoba,Market income,Two-parent families with children,0.304
1983,Manitoba,Market income,"Two-parent families with children, no earners",
1983,Manitoba,Market income,"Two-parent families with children, one earner",0.333
1983,Manitoba,Market income,"Two-parent families with children, two earners",0.268
1983,Manitoba,Market income,"Two-parent families with children, three or more earners",0.292
1983,Manitoba,Market income,Married couples with other relatives,0.232
1983,Manitoba,Market income,Lone-parent families,0.681
1983,Manitoba,Market income,Male lone-parent families,
1983,Manitoba,Market income,Female lone-parent families,0.667
1983,Manitoba,Market income,"Female lone-parent families, no earners",
1983,Manitoba,Market income,"Female lone-parent families, one earner",
1983,Manitoba,Market income,"Female lone-parent families, two or more earners",
1983,Manitoba,Market income,Other non-elderly families,0.469
1983,Manitoba,Market income,Unattached individuals,0.526
1983,Manitoba,Market income,Elderly males,
1983,Manitoba,Market income,"Elderly males, non-earner",
1983,Manitoba,Market income,"Elderly males, earner",
1983,Manitoba,Market income,Elderly females,0.718
1983,Manitoba,Market income,"Elderly females, non-earner",0.744
1983,Manitoba,Market income,"Elderly females, earner",
1983,Manitoba,Market income,Non-elderly males,0.479
1983,Manitoba,Market income,"Non-elderly males, non-earner",
1983,Manitoba,Market income,"Non-elderly males, earner",0.415
1983,Manitoba,Market income,Non-elderly females,0.408
1983,Manitoba,Market income,"Non-elderly females, non-earner",
1983,Manitoba,Market income,"Non-elderly females, earner",0.344
1983,Manitoba,Total income,All family units,0.385
1983,Manitoba,Total income,"Economic families, two persons or more",0.329
1983,Manitoba,Total income,Elderly families,0.292
1983,Manitoba,Total income,Elderly married couples,0.299
1983,Manitoba,Total income,Other elderly families,
1983,Manitoba,Total income,Non-elderly families,0.316
1983,Manitoba,Total income,Married couples,0.327
1983,Manitoba,Total income,"Married couples, no earners",
1983,Manitoba,Total income,"Married couples, one earner",0.351
1983,Manitoba,Total income,"Married couples, two earners",0.319
1983,Manitoba,Total income,Two-parent families with children,0.272
1983,Manitoba,Total income,"Two-parent families with children, no earners",
1983,Manitoba,Total income,"Two-parent families with children, one earner",0.305
1983,Manitoba,Total income,"Two-parent families with children, two earners",0.24
1983,Manitoba,Total income,"Two-parent families with children, three or more earners",0.258
1983,Manitoba,Total income,Married couples with other relatives,0.209
1983,Manitoba,Total income,Lone-parent families,0.32
1983,Manitoba,Total income,Male lone-parent families,
1983,Manitoba,Total income,Female lone-parent families,0.301
1983,Manitoba,Total income,"Female lone-parent families, no earners",
1983,Manitoba,Total income,"Female lone-parent families, one earner",
1983,Manitoba,Total income,"Female lone-parent families, two or more earners",
1983,Manitoba,Total income,Other non-elderly families,0.383
1983,Manitoba,Total income,Unattached individuals,0.366
1983,Manitoba,Total income,Elderly males,
1983,Manitoba,Total income,"Elderly males, non-earner",
1983,Manitoba,Total income,"Elderly males, earner",
1983,Manitoba,Total income,Elderly females,0.318
1983,Manitoba,Total income,"Elderly females, non-earner",0.325
1983,Manitoba,Total income,"Elderly females, earner",
1983,Manitoba,Total income,Non-elderly males,0.389
1983,Manitoba,Total income,"Non-elderly males, non-earner",
1983,Manitoba,Total income,"Non-elderly males, earner",0.365
