Year,GEO,Economic family type,Income concept,After-tax income quintile,Average income (Dollars),Share of income (Percent)
1987,Prince Edward Island,Unattached individuals,Market income,Lowest quintile,4100,4.9
1987,Prince Edward Island,Unattached individuals,Market income,Second quintile,3700,4.4
1987,Prince Edward Island,Unattached individuals,Market income,Third quintile,9000,10.8
1987,Prince Edward Island,Unattached individuals,Market income,Fourth quintile,18600,22.2
1987,Prince Edward Island,Unattached individuals,Market income,Highest quintile,48400,57.8
1987,Prince Edward Island,Unattached individuals,Total income,Total of quintiles,24500,100
1987,Prince Edward Island,Unattached individuals,Total income,Lowest quintile,8100,6.6
1987,Prince Edward Island,Unattached individuals,Total income,Second quintile,14800,12.1
1987,Prince Edward Island,Unattached individuals,Total income,Third quintile,18600,15.2
1987,Prince Edward Island,Unattached individuals,Total income,Fourth quintile,26900,21.9
1987,Prince Edward Island,Unattached individuals,Total income,Highest quintile,54100,44.1
1987,Prince Edward Island,Unattached individuals,After-tax income,Total of quintiles,21500,100
1987,Prince Edward Island,Unattached individuals,After-tax income,Lowest quintile,8100,7.5
1987,Prince Edward Island,Unattached individuals,After-tax income,Second quintile,14400,13.4
1987,Prince Edward Island,Unattached individuals,After-tax income,Third quintile,17600,16.4
1987,Prince Edward Island,Unattached individuals,After-tax income,Fourth quintile,23900,22.3
1987,Prince Edward Island,Unattached individuals,After-tax income,Highest quintile,43300,40.4
1987,Nova Scotia,All family units,Market income,Total of quintiles,47900,100
1987,Nova Scotia,All family units,Market income,Lowest quintile,5100,2.1
1987,Nova Scotia,All family units,Market income,Second quintile,18200,7.6
1987,Nova Scotia,All family units,Market income,Third quintile,40600,17
1987,Nova Scotia,All family units,Market income,Fourth quintile,64700,27
1987,Nova Scotia,All family units,Market income,Highest quintile,110800,46.3
1987,Nova Scotia,All family units,Total income,Total of quintiles,56600,100
1987,Nova Scotia,All family units,Total income,Lowest quintile,13900,4.9
1987,Nova Scotia,All family units,Total income,Second quintile,30000,10.6
1987,Nova Scotia,All family units,Total income,Third quintile,49500,17.5
1987,Nova Scotia,All family units,Total income,Fourth quintile,71400,25.2
1987,Nova Scotia,All family units,Total income,Highest quintile,118100,41.8
1987,Nova Scotia,All family units,After-tax income,Total of quintiles,47000,100
1987,Nova Scotia,All family units,After-tax income,Lowest quintile,13500,5.8
1987,Nova Scotia,All family units,After-tax income,Second quintile,27500,11.7
1987,Nova Scotia,All family units,After-tax income,Third quintile,42200,18
1987,Nova Scotia,All family units,After-tax income,Fourth quintile,58600,24.9
1987,Nova Scotia,All family units,After-tax income,Highest quintile,93100,39.6
1987,Nova Scotia,"Economic families, two persons or more",Market income,Total of quintiles,57800,100
1987,Nova Scotia,"Economic families, two persons or more",Market income,Lowest quintile,9400,3.2
1987,Nova Scotia,"Economic families, two persons or more",Market income,Second quintile,31500,10.9
1987,Nova Scotia,"Economic families, two persons or more",Market income,Third quintile,51800,17.9
1987,Nova Scotia,"Economic families, two persons or more",Market income,Fourth quintile,75600,26.2
1987,Nova Scotia,"Economic families, two persons or more",Market income,Highest quintile,120700,41.8
1987,Nova Scotia,"Economic families, two persons or more",Total income,Total of quintiles,67200,100
1987,Nova Scotia,"Economic families, two persons or more",Total income,Lowest quintile,22600,6.7
1987,Nova Scotia,"Economic families, two persons or more",Total income,Second quintile,42800,12.7
1987,Nova Scotia,"Economic families, two persons or more",Total income,Third quintile,60800,18.1
1987,Nova Scotia,"Economic families, two persons or more",Total income,Fourth quintile,81600,24.3
1987,Nova Scotia,"Economic families, two persons or more",Total income,Highest quintile,128300,38.2
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Total of quintiles,55600,100
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Lowest quintile,21900,7.9
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Second quintile,37800,13.6
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Third quintile,51500,18.5
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Fourth quintile,66400,23.9
1987,Nova Scotia,"Economic families, two persons or more",After-tax income,Highest quintile,100500,36.1
1987,Nova Scotia,Unattached individuals,Market income,Total of quintiles,20700,100
1987,Nova Scotia,Unattached individuals,Market income,Lowest quintile,4000,3.9
1987,Nova Scotia,Unattached individuals,Market income,Second quintile,4000,3.9
1987,Nova Scotia,Unattached individuals,Market income,Third quintile,9400,9.1
1987,Nova Scotia,Unattached individuals,Market income,Fourth quintile,27500,26.6
1987,Nova Scotia,Unattached individuals,Market income,Highest quintile,58400,56.5
1987,Nova Scotia,Unattached individuals,Total income,Total of quintiles,27300,100
1987,Nova Scotia,Unattached individuals,Total income,Lowest quintile,8000,5.8
1987,Nova Scotia,Unattached individuals,Total income,Second quintile,15000,11
1987,Nova Scotia,Unattached individuals,Total income,Third quintile,20300,14.8
1987,Nova Scotia,Unattached individuals,Total income,Fourth quintile,32400,23.7
1987,Nova Scotia,Unattached individuals,Total income,Highest quintile,61000,44.6
1987,Nova Scotia,Unattached individuals,After-tax income,Total of quintiles,23300,100
1987,Nova Scotia,Unattached individuals,After-tax income,Lowest quintile,7900,6.8
1987,Nova Scotia,Unattached individuals,After-tax income,Second quintile,14700,12.6
1987,Nova Scotia,Unattached individuals,After-tax income,Third quintile,19000,16.3
1987,Nova Scotia,Unattached individuals,After-tax income,Fourth quintile,27600,23.7
1987,Nova Scotia,Unattached individuals,After-tax income,Highest quintile,47500,40.7
1987,New Brunswick,All family units,Market income,Total of quintiles,41900,100
1987,New Brunswick,All family units,Market income,Lowest quintile,3900,1.9
1987,New Brunswick,All family units,Market income,Second quintile,15400,7.3
1987,New Brunswick,All family units,Market income,Third quintile,32800,15.6
1987,New Brunswick,All family units,Market income,Fourth quintile,58100,27.7
1987,New Brunswick,All family units,Market income,Highest quintile,99400,47.4
1987,New Brunswick,All family units,Total income,Total of quintiles,52100,100
1987,New Brunswick,All family units,Total income,Lowest quintile,13100,5
1987,New Brunswick,All family units,Total income,Second quintile,27600,10.6
1987,New Brunswick,All family units,Total income,Third quintile,44600,17.1
1987,New Brunswick,All family units,Total income,Fourth quintile,67000,25.7
1987,New Brunswick,All family units,Total income,Highest quintile,108000,41.5
1987,New Brunswick,All family units,After-tax income,Total of quintiles,44000,100
1987,New Brunswick,All family units,After-tax income,Lowest quintile,12800,5.8
1987,New Brunswick,All family units,After-tax income,Second quintile,25500,11.6
1987,New Brunswick,All family units,After-tax income,Third quintile,39100,17.7
1987,New Brunswick,All family units,After-tax income,Fourth quintile,55700,25.3
1987,New Brunswick,All family units,After-tax income,Highest quintile,87100,39.6
1987,New Brunswick,"Economic families, two persons or more",Market income,Total of quintiles,50200,100
1987,New Brunswick,"Economic families, two persons or more",Market income,Lowest quintile,6700,2.7
1987,New Brunswick,"Economic families, two persons or more",Market income,Second quintile,24400,9.7
1987,New Brunswick,"Economic families, two persons or more",Market income,Third quintile,44600,17.8
1987,New Brunswick,"Economic families, two persons or more",Market income,Fourth quintile,68900,27.5
1987,New Brunswick,"Economic families, two persons or more",Market income,Highest quintile,106200,42.3
1987,New Brunswick,"Economic families, two persons or more",Total income,Total of quintiles,61200,100
1987,New Brunswick,"Economic families, two persons or more",Total income,Lowest quintile,20400,6.7
1987,New Brunswick,"Economic families, two persons or more",Total income,Second quintile,38200,12.5
1987,New Brunswick,"Economic families, two persons or more",Total income,Third quintile,55700,18.2
1987,New Brunswick,"Economic families, two persons or more",Total income,Fourth quintile,76500,25
1987,New Brunswick,"Economic families, two persons or more",Total income,Highest quintile,115400,37.7
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Total of quintiles,51600,100
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Lowest quintile,19900,7.7
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Second quintile,34600,13.4
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Third quintile,47700,18.5
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Fourth quintile,63100,24.4
1987,New Brunswick,"Economic families, two persons or more",After-tax income,Highest quintile,92800,36
1987,New Brunswick,Unattached individuals,Market income,Total of quintiles,16400,100
1987,New Brunswick,Unattached individuals,Market income,Lowest quintile,3500,4.2
1987,New Brunswick,Unattached individuals,Market income,Second quintile,3200,3.9
1987,New Brunswick,Unattached individuals,Market income,Third quintile,6800,8.3
1987,New Brunswick,Unattached individuals,Market income,Fourth quintile,22100,27
1987,New Brunswick,Unattached individuals,Market income,Highest quintile,46200,56.5
1987,New Brunswick,Unattached individuals,Total income,Total of quintiles,23600,100
1987,New Brunswick,Unattached individuals,Total income,Lowest quintile,6900,5.8
1987,New Brunswick,Unattached individuals,Total income,Second quintile,14000,11.9
1987,New Brunswick,Unattached individuals,Total income,Third quintile,17900,15.2
1987,New Brunswick,Unattached individuals,Total income,Fourth quintile,28100,23.9
1987,New Brunswick,Unattached individuals,Total income,Highest quintile,50800,43.1
1987,New Brunswick,Unattached individuals,After-tax income,Total of quintiles,20600,100
1987,New Brunswick,Unattached individuals,After-tax income,Lowest quintile,6800,6.6
1987,New Brunswick,Unattached individuals,After-tax income,Second quintile,13700,13.3
1987,New Brunswick,Unattached individuals,After-tax income,Third quintile,17100,16.6
1987,New Brunswick,Unattached individuals,After-tax income,Fourth quintile,24400,23.7
1987,New Brunswick,Unattached individuals,After-tax income,Highest quintile,40900,39.7
1987,Quebec,All family units,Market income,Total of quintiles,50400,100
1987,Quebec,All family units,Market income,Lowest quintile,5100,2
1987,Quebec,All family units,Market income,Second quintile,20600,8.2
1987,Quebec,All family units,Market income,Third quintile,42100,16.7
1987,Quebec,All family units,Market income,Fourth quintile,65100,25.8
1987,Quebec,All family units,Market income,Highest quintile,119100,47.2
1987,Quebec,All family units,Total income,Total of quintiles,58000,100
1987,Quebec,All family units,Total income,Lowest quintile,13800,4.8
1987,Quebec,All family units,Total income,Second quintile,30500,10.5
1987,Quebec,All family units,Total income,Third quintile,49700,17.1
1987,Quebec,All family units,Total income,Fourth quintile,71700,24.7
1987,Quebec,All family units,Total income,Highest quintile,124500,42.9
1987,Quebec,All family units,After-tax income,Total of quintiles,47000,100
1987,Quebec,All family units,After-tax income,Lowest quintile,13300,5.7
1987,Quebec,All family units,After-tax income,Second quintile,27300,11.6
1987,Quebec,All family units,After-tax income,Third quintile,41300,17.6
1987,Quebec,All family units,After-tax income,Fourth quintile,57700,24.5
1987,Quebec,All family units,After-tax income,Highest quintile,95300,40.6
1987,Quebec,"Economic families, two persons or more",Market income,Total of quintiles,61600,100
1987,Quebec,"Economic families, two persons or more",Market income,Lowest quintile,10700,3.5
1987,Quebec,"Economic families, two persons or more",Market income,Second quintile,34200,11.1
1987,Quebec,"Economic families, two persons or more",Market income,Third quintile,54300,17.6
1987,Quebec,"Economic families, two persons or more",Market income,Fourth quintile,77200,25.1
1987,Quebec,"Economic families, two persons or more",Market income,Highest quintile,131800,42.8
1987,Quebec,"Economic families, two persons or more",Total income,Total of quintiles,69800,100
1987,Quebec,"Economic families, two persons or more",Total income,Lowest quintile,22900,6.6
1987,Quebec,"Economic families, two persons or more",Total income,Second quintile,43600,12.5
1987,Quebec,"Economic families, two persons or more",Total income,Third quintile,62000,17.8
1987,Quebec,"Economic families, two persons or more",Total income,Fourth quintile,83700,24
1987,Quebec,"Economic families, two persons or more",Total income,Highest quintile,136900,39.2
1987,Quebec,"Economic families, two persons or more",After-tax income,Total of quintiles,56400,100
1987,Quebec,"Economic families, two persons or more",After-tax income,Lowest quintile,21900,7.8
1987,Quebec,"Economic families, two persons or more",After-tax income,Second quintile,38000,13.5
1987,Quebec,"Economic families, two persons or more",After-tax income,Third quintile,51100,18.1
1987,Quebec,"Economic families, two persons or more",After-tax income,Fourth quintile,66600,23.6
1987,Quebec,"Economic families, two persons or more",After-tax income,Highest quintile,104400,37
1987,Quebec,Unattached individuals,Market income,Total of quintiles,23400,100
1987,Quebec,Unattached individuals,Market income,Lowest quintile,2800,2.4
1987,Quebec,Unattached individuals,Market income,Second quintile,4400,3.8
1987,Quebec,Unattached individuals,Market income,Third quintile,14000,12
1987,Quebec,Unattached individuals,Market income,Fourth quintile,33300,28.4
1987,Quebec,Unattached individuals,Market income,Highest quintile,62600,53.4
1987,Quebec,Unattached individuals,Total income,Total of quintiles,29700,100
1987,Quebec,Unattached individuals,Total income,Lowest quintile,8500,5.7
1987,Quebec,Unattached individuals,Total income,Second quintile,15000,10.1
1987,Quebec,Unattached individuals,Total income,Third quintile,22200,14.9
1987,Quebec,Unattached individuals,Total income,Fourth quintile,37300,25.1
1987,Quebec,Unattached individuals,Total income,Highest quintile,65700,44.2
1987,Quebec,Unattached individuals,After-tax income,Total of quintiles,24400,100
1987,Quebec,Unattached individuals,After-tax income,Lowest quintile,8400,6.9
1987,Quebec,Unattached individuals,After-tax income,Second quintile,14600,12
1987,Quebec,Unattached individuals,After-tax income,Third quintile,20000,16.4
1987,Quebec,Unattached individuals,After-tax income,Fourth quintile,30100,24.7
1987,Quebec,Unattached individuals,After-tax income,Highest quintile,48800,40
1987,Ontario,All family units,Market income,Total of quintiles,64900,100
1987,Ontario,All family units,Market income,Lowest quintile,9700,3
1987,Ontario,All family units,Market income,Second quintile,29300,9
1987,Ontario,All family units,Market income,Third quintile,56100,17.3
1987,Ontario,All family units,Market income,Fourth quintile,83100,25.6
1987,Ontario,All family units,Market income,Highest quintile,146000,45
1987,Ontario,All family units,Total income,Total of quintiles,71100,100
1987,Ontario,All family units,Total income,Lowest quintile,17500,4.9
1987,Ontario,All family units,Total income,Second quintile,38300,10.8
1987,Ontario,All family units,Total income,Third quintile,61700,17.4
1987,Ontario,All family units,Total income,Fourth quintile,87700,24.7
1987,Ontario,All family units,Total income,Highest quintile,150100,42.2
1987,Ontario,All family units,After-tax income,Total of quintiles,57700,100
1987,Ontario,All family units,After-tax income,Lowest quintile,16600,5.7
1987,Ontario,All family units,After-tax income,Second quintile,33700,11.7
1987,Ontario,All family units,After-tax income,Third quintile,51300,17.8
1987,Ontario,All family units,After-tax income,Fourth quintile,70800,24.5
1987,Ontario,All family units,After-tax income,Highest quintile,116300,40.3
1987,Ontario,"Economic families, two persons or more",Market income,Total of quintiles,79100,100
1987,Ontario,"Economic families, two persons or more",Market income,Lowest quintile,17700,4.5
1987,Ontario,"Economic families, two persons or more",Market income,Second quintile,48400,12.2
1987,Ontario,"Economic families, two persons or more",Market income,Third quintile,71800,18.2
1987,Ontario,"Economic families, two persons or more",Market income,Fourth quintile,96900,24.5
1987,Ontario,"Economic families, two persons or more",Market income,Highest quintile,160500,40.6
1987,Ontario,"Economic families, two persons or more",Total income,Total of quintiles,85600,100
1987,Ontario,"Economic families, two persons or more",Total income,Lowest quintile,29500,6.9
1987,Ontario,"Economic families, two persons or more",Total income,Second quintile,55600,13
1987,Ontario,"Economic families, two persons or more",Total income,Third quintile,77100,18
1987,Ontario,"Economic families, two persons or more",Total income,Fourth quintile,101200,23.6
1987,Ontario,"Economic families, two persons or more",Total income,Highest quintile,164700,38.5
1987,Ontario,"Economic families, two persons or more",After-tax income,Total of quintiles,69400,100
1987,Ontario,"Economic families, two persons or more",After-tax income,Lowest quintile,27800,8
1987,Ontario,"Economic families, two persons or more",After-tax income,Second quintile,47800,13.8
1987,Ontario,"Economic families, two persons or more",After-tax income,Third quintile,63200,18.2
1987,Ontario,"Economic families, two persons or more",After-tax income,Fourth quintile,81300,23.4
1987,Ontario,"Economic families, two persons or more",After-tax income,Highest quintile,126900,36.6
1987,Ontario,Unattached individuals,Market income,Total of quintiles,30500,100
1987,Ontario,Unattached individuals,Market income,Lowest quintile,5700,3.7
1987,Ontario,Unattached individuals,Market income,Second quintile,8400,5.5
1987,Ontario,Unattached individuals,Market income,Third quintile,21800,14.3
1987,Ontario,Unattached individuals,Market income,Fourth quintile,39900,26.2
1987,Ontario,Unattached individuals,Market income,Highest quintile,76700,50.3
1987,Ontario,Unattached individuals,Total income,Total of quintiles,35900,100
1987,Ontario,Unattached individuals,Total income,Lowest quintile,10000,5.6
1987,Ontario,Unattached individuals,Total income,Second quintile,18800,10.5
1987,Ontario,Unattached individuals,Total income,Third quintile,28200,15.7
1987,Ontario,Unattached individuals,Total income,Fourth quintile,43600,24.3
1987,Ontario,Unattached individuals,Total income,Highest quintile,78800,43.9
1987,Ontario,Unattached individuals,After-tax income,Total of quintiles,29600,100
1987,Ontario,Unattached individuals,After-tax income,Lowest quintile,9800,6.6
1987,Ontario,Unattached individuals,After-tax income,Second quintile,17900,12.1
1987,Ontario,Unattached individuals,After-tax income,Third quintile,24500,16.6
1987,Ontario,Unattached individuals,After-tax income,Fourth quintile,35600,24
1987,Ontario,Unattached individuals,After-tax income,Highest quintile,60400,40.8
1987,Manitoba,All family units,Market income,Total of quintiles,49600,100
1987,Manitoba,All family units,Market income,Lowest quintile,6000,2.4
1987,Manitoba,All family units,Market income,Second quintile,20600,8.3
1987,Manitoba,All family units,Market income,Third quintile,40400,16.3
1987,Manitoba,All family units,Market income,Fourth quintile,64800,26.1
1987,Manitoba,All family units,Market income,Highest quintile,115900,46.8
1987,Manitoba,All family units,Total income,Total of quintiles,56900,100
1987,Manitoba,All family units,Total income,Lowest quintile,14200,5
1987,Manitoba,All family units,Total income,Second quintile,30400,10.7
1987,Manitoba,All family units,Total income,Third quintile,48100,16.9
1987,Manitoba,All family units,Total income,Fourth quintile,70900,24.9
1987,Manitoba,All family units,Total income,Highest quintile,120900,42.5
1987,Manitoba,All family units,After-tax income,Total of quintiles,47300,100
1987,Manitoba,All family units,After-tax income,Lowest quintile,13700,5.8
1987,Manitoba,All family units,After-tax income,Second quintile,27500,11.6
1987,Manitoba,All family units,After-tax income,Third quintile,41400,17.5
1987,Manitoba,All family units,After-tax income,Fourth quintile,58600,24.8
1987,Manitoba,All family units,After-tax income,Highest quintile,95400,40.3
1987,Manitoba,"Economic families, two persons or more",Market income,Total of quintiles,61300,100
1987,Manitoba,"Economic families, two persons or more",Market income,Lowest quintile,12400,4
1987,Manitoba,"Economic families, two persons or more",Market income,Second quintile,33500,10.9
1987,Manitoba,"Economic families, two persons or more",Market income,Third quintile,56100,18.3
1987,Manitoba,"Economic families, two persons or more",Market income,Fourth quintile,77900,25.4
1987,Manitoba,"Economic families, two persons or more",Market income,Highest quintile,126700,41.3
1987,Manitoba,"Economic families, two persons or more",Total income,Total of quintiles,69100,100
1987,Manitoba,"Economic families, two persons or more",Total income,Lowest quintile,24000,6.9
1987,Manitoba,"Economic families, two persons or more",Total income,Second quintile,43400,12.6
1987,Manitoba,"Economic families, two persons or more",Total income,Third quintile,62800,18.2
1987,Manitoba,"Economic families, two persons or more",Total income,Fourth quintile,83000,24
1987,Manitoba,"Economic families, two persons or more",Total income,Highest quintile,132200,38.3
1987,Manitoba,"Economic families, two persons or more",After-tax income,Total of quintiles,57300,100
1987,Manitoba,"Economic families, two persons or more",After-tax income,Lowest quintile,23000,8
1987,Manitoba,"Economic families, two persons or more",After-tax income,Second quintile,38800,13.5
1987,Manitoba,"Economic families, two persons or more",After-tax income,Third quintile,52900,18.5
1987,Manitoba,"Economic families, two persons or more",After-tax income,Fourth quintile,67600,23.6
1987,Manitoba,"Economic families, two persons or more",After-tax income,Highest quintile,104100,36.3
1987,Manitoba,Unattached individuals,Market income,Total of quintiles,23200,100
1987,Manitoba,Unattached individuals,Market income,Lowest quintile,3700,3.2
1987,Manitoba,Unattached individuals,Market income,Second quintile,5600,4.9
1987,Manitoba,Unattached individuals,Market income,Third quintile,14000,12
1987,Manitoba,Unattached individuals,Market income,Fourth quintile,30200,26
1987,Manitoba,Unattached individuals,Market income,Highest quintile,62700,53.9
1987,Manitoba,Unattached individuals,Total income,Total of quintiles,29700,100
1987,Manitoba,Unattached individuals,Total income,Lowest quintile,8300,5.6
1987,Manitoba,Unattached individuals,Total income,Second quintile,16300,11
1987,Manitoba,Unattached individuals,Total income,Third quintile,22900,15.4
1987,Manitoba,Unattached individuals,Total income,Fourth quintile,35200,23.7
1987,Manitoba,Unattached individuals,Total income,Highest quintile,65700,44.3
1987,Manitoba,Unattached individuals,After-tax income,Total of quintiles,25100,100
1987,Manitoba,Unattached individuals,After-tax income,Lowest quintile,8200,6.5
1987,Manitoba,Unattached individuals,After-tax income,Second quintile,15900,12.7
1987,Manitoba,Unattached individuals,After-tax income,Third quintile,20900,16.7
1987,Manitoba,Unattached individuals,After-tax income,Fourth quintile,29500,23.6
1987,Manitoba,Unattached individuals,After-tax income,Highest quintile,50800,40.6
1987,Saskatchewan,All family units,Market income,Total of quintiles,48700,100
1987,Saskatchewan,All family units,Market income,Lowest quintile,5800,2.4
1987,Saskatchewan,All family units,Market income,Second quintile,19900,8.2
1987,Saskatchewan,All family units,Market income,Third quintile,38800,15.9
1987,Saskatchewan,All family units,Market income,Fourth quintile,64700,26.5
1987,Saskatchewan,All family units,Market income,Highest quintile,114600,47
1987,Saskatchewan,All family units,Total income,Total of quintiles,55900,100
1987,Saskatchewan,All family units,Total income,Lowest quintile,13100,4.7
1987,Saskatchewan,All family units,Total income,Second quintile,29400,10.5
1987,Saskatchewan,All family units,Total income,Third quintile,46800,16.8
1987,Saskatchewan,All family units,Total income,Fourth quintile,70500,25.2
1987,Saskatchewan,All family units,Total income,Highest quintile,119500,42.8
1987,Saskatchewan,All family units,After-tax income,Total of quintiles,46700,100
1987,Saskatchewan,All family units,After-tax income,Lowest quintile,12700,5.4
1987,Saskatchewan,All family units,After-tax income,Second quintile,26900,11.5
1987,Saskatchewan,All family units,After-tax income,Third quintile,40700,17.4
1987,Saskatchewan,All family units,After-tax income,Fourth quintile,58100,24.9
1987,Saskatchewan,All family units,After-tax income,Highest quintile,95100,40.7
1987,Saskatchewan,"Economic families, two persons or more",Market income,Total of quintiles,59800,100
1987,Saskatchewan,"Economic families, two persons or more",Market income,Lowest quintile,11000,3.7
1987,Saskatchewan,"Economic families, two persons or more",Market income,Second quintile,30700,10.3
1987,Saskatchewan,"Economic families, two persons or more",Market income,Third quintile,53500,17.9
1987,Saskatchewan,"Economic families, two persons or more",Market income,Fourth quintile,77200,25.8
1987,Saskatchewan,"Economic families, two persons or more",Market income,Highest quintile,126500,42.3
1987,Saskatchewan,"Economic families, two persons or more",Total income,Total of quintiles,67500,100
1987,Saskatchewan,"Economic families, two persons or more",Total income,Lowest quintile,21800,6.5
1987,Saskatchewan,"Economic families, two persons or more",Total income,Second quintile,41200,12.2
1987,Saskatchewan,"Economic families, two persons or more",Total income,Third quintile,60700,18
1987,Saskatchewan,"Economic families, two persons or more",Total income,Fourth quintile,82700,24.5
1987,Saskatchewan,"Economic families, two persons or more",Total income,Highest quintile,131200,38.9
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Total of quintiles,56400,100
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Lowest quintile,21200,7.5
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Second quintile,37400,13.3
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Third quintile,51600,18.3
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Fourth quintile,67600,24
1987,Saskatchewan,"Economic families, two persons or more",After-tax income,Highest quintile,104000,36.9
1987,Saskatchewan,Unattached individuals,Market income,Total of quintiles,23100,100
1987,Saskatchewan,Unattached individuals,Market income,Lowest quintile,4200,3.6
1987,Saskatchewan,Unattached individuals,Market income,Second quintile,5000,4.3
1987,Saskatchewan,Unattached individuals,Market income,Third quintile,15200,13.1
1987,Saskatchewan,Unattached individuals,Market income,Fourth quintile,31300,27.1
1987,Saskatchewan,Unattached individuals,Market income,Highest quintile,60000,51.9
1987,Saskatchewan,Unattached individuals,Total income,Total of quintiles,28900,100
1987,Saskatchewan,Unattached individuals,Total income,Lowest quintile,7300,5.1
1987,Saskatchewan,Unattached individuals,Total income,Second quintile,15800,10.9
1987,Saskatchewan,Unattached individuals,Total income,Third quintile,22600,15.7
1987,Saskatchewan,Unattached individuals,Total income,Fourth quintile,35500,24.5
1987,Saskatchewan,Unattached individuals,Total income,Highest quintile,63300,43.8
1987,Saskatchewan,Unattached individuals,After-tax income,Total of quintiles,24300,100
1987,Saskatchewan,Unattached individuals,After-tax income,Lowest quintile,7200,5.9
1987,Saskatchewan,Unattached individuals,After-tax income,Second quintile,15400,12.7
1987,Saskatchewan,Unattached individuals,After-tax income,Third quintile,20600,16.9
1987,Saskatchewan,Unattached individuals,After-tax income,Fourth quintile,29500,24.2
1987,Saskatchewan,Unattached individuals,After-tax income,Highest quintile,48900,40.2
1987,Alberta,All family units,Market income,Total of quintiles,57600,100
1987,Alberta,All family units,Market income,Lowest quintile,9000,3.1
1987,Alberta,All family units,Market income,Second quintile,24400,8.5
1987,Alberta,All family units,Market income,Third quintile,48200,16.7
1987,Alberta,All family units,Market income,Fourth quintile,75900,26.3
1987,Alberta,All family units,Market income,Highest quintile,130500,45.3
1987,Alberta,All family units,Total income,Total of quintiles,63500,100
1987,Alberta,All family units,Total income,Lowest quintile,15100,4.8
1987,Alberta,All family units,Total income,Second quintile,32900,10.4
1987,Alberta,All family units,Total income,Third quintile,54200,17.1
1987,Alberta,All family units,Total income,Fourth quintile,80200,25.3
1987,Alberta,All family units,Total income,Highest quintile,135100,42.5
1987,Alberta,All family units,After-tax income,Total of quintiles,51800,100
1987,Alberta,All family units,After-tax income,Lowest quintile,13700,5.3
1987,Alberta,All family units,After-tax income,Second quintile,29400,11.3
1987,Alberta,All family units,After-tax income,Third quintile,45900,17.7
1987,Alberta,All family units,After-tax income,Fourth quintile,65100,25.1
1987,Alberta,All family units,After-tax income,Highest quintile,105200,40.6
1987,Alberta,"Economic families, two persons or more",Market income,Total of quintiles,70400,100
1987,Alberta,"Economic families, two persons or more",Market income,Lowest quintile,14600,4.1
1987,Alberta,"Economic families, two persons or more",Market income,Second quintile,39900,11.3
1987,Alberta,"Economic families, two persons or more",Market income,Third quintile,64400,18.3
1987,Alberta,"Economic families, two persons or more",Market income,Fourth quintile,88100,25
1987,Alberta,"Economic families, two persons or more",Market income,Highest quintile,144900,41.2
1987,Alberta,"Economic families, two persons or more",Total income,Total of quintiles,77000,100
1987,Alberta,"Economic families, two persons or more",Total income,Lowest quintile,24900,6.5
1987,Alberta,"Economic families, two persons or more",Total income,Second quintile,47800,12.4
1987,Alberta,"Economic families, two persons or more",Total income,Third quintile,69800,18.1
1987,Alberta,"Economic families, two persons or more",Total income,Fourth quintile,92900,24.1
1987,Alberta,"Economic families, two persons or more",Total income,Highest quintile,149400,38.8
1987,Alberta,"Economic families, two persons or more",After-tax income,Total of quintiles,62700,100
1987,Alberta,"Economic families, two persons or more",After-tax income,Lowest quintile,22700,7.2
1987,Alberta,"Economic families, two persons or more",After-tax income,Second quintile,42100,13.4
1987,Alberta,"Economic families, two persons or more",After-tax income,Third quintile,58000,18.5
1987,Alberta,"Economic families, two persons or more",After-tax income,Fourth quintile,74900,23.9
1987,Alberta,"Economic families, two persons or more",After-tax income,Highest quintile,115800,36.9
1987,Alberta,Unattached individuals,Market income,Total of quintiles,29200,100
1987,Alberta,Unattached individuals,Market income,Lowest quintile,5200,3.5
1987,Alberta,Unattached individuals,Market income,Second quintile,9000,6.2
1987,Alberta,Unattached individuals,Market income,Third quintile,20400,14
1987,Alberta,Unattached individuals,Market income,Fourth quintile,38400,26.3
1987,Alberta,Unattached individuals,Market income,Highest quintile,73200,50.1
1987,Alberta,Unattached individuals,Total income,Total of quintiles,33700,100
1987,Alberta,Unattached individuals,Total income,Lowest quintile,7900,4.7
1987,Alberta,Unattached individuals,Total income,Second quintile,17600,10.4
1987,Alberta,Unattached individuals,Total income,Third quintile,26400,15.7
1987,Alberta,Unattached individuals,Total income,Fourth quintile,41400,24.6
1987,Alberta,Unattached individuals,Total income,Highest quintile,75000,44.6
1987,Alberta,Unattached individuals,After-tax income,Total of quintiles,27700,100
